gene,arrow,injected_value,mean_pred,sem_pred
ACTR3B,methy->rna,-2.0,0.309782475233078,0.02178339315155067
ACTR3B,methy->rna,-1.5,0.26514479517936707,0.022059261108400185
ACTR3B,methy->rna,-1.0,0.19280913472175598,0.02238020480233332
ACTR3B,methy->rna,-0.5,0.07899513840675354,0.022384700825424916
ACTR3B,methy->rna,0.0,0.027164703235030174,0.02222450902643085
ACTR3B,methy->rna,0.5,-0.03796493634581566,0.022671709679048184
ACTR3B,methy->rna,1.0,-0.10769504308700562,0.02376782180214168
ACTR3B,methy->rna,1.5,-0.1682504266500473,0.024187226876227638
ACTR3B,methy->rna,2.0,-0.21447575092315674,0.02424856065124791
AGR2,methy->rna,-2.0,0.20876553654670715,0.032558242162581685
AGR2,methy->rna,-1.5,0.18600048124790192,0.03241999435607879
AGR2,methy->rna,-1.0,0.1458701193332672,0.03209987446085076
AGR2,methy->rna,-0.5,0.06555093079805374,0.03122877706977918
AGR2,methy->rna,0.0,-0.05029803887009621,0.02885279340767493
AGR2,methy->rna,0.5,-0.11317003518342972,0.02995637202379403
AGR2,methy->rna,1.0,-0.22558732330799103,0.03011959967357171
AGR2,methy->rna,1.5,-0.3025362491607666,0.02994190324177507
AGR2,methy->rna,2.0,-0.3517342507839203,0.029749276003288885
AKT1,methy->rna,-2.0,0.34942469000816345,0.02212113318574892
AKT1,methy->rna,-1.5,0.3147256672382355,0.02224031157778188
AKT1,methy->rna,-1.0,0.24965931475162506,0.02232867379603142
AKT1,methy->rna,-0.5,0.11145041882991791,0.021957966558097546
AKT1,methy->rna,0.0,-0.009680182673037052,0.020993731967393153
AKT1,methy->rna,0.5,-0.0908784493803978,0.021240457500209302
AKT1,methy->rna,1.0,-0.2987954020500183,0.021576063939348578
AKT1,methy->rna,1.5,-0.43591606616973877,0.021556325460850956
AKT1,methy->rna,2.0,-0.5131944417953491,0.021520507652072283
AKT2,methy->rna,-2.0,0.3291507661342621,0.020559707735334134
AKT2,methy->rna,-1.5,0.2952842712402344,0.02070776484864036
AKT2,methy->rna,-1.0,0.23530897498130798,0.020859932238025475
AKT2,methy->rna,-0.5,0.12085246294736862,0.020682292469631835
AKT2,methy->rna,0.0,0.018205059692263603,0.020143667595641502
AKT2,methy->rna,0.5,-0.00419163191691041,0.02025891223988952
AKT2,methy->rna,1.0,-0.0860329270362854,0.02081118209719371
AKT2,methy->rna,1.5,-0.16557514667510986,0.020942510430446083
AKT2,methy->rna,2.0,-0.22697094082832336,0.02091965546478366
ALDH1A3,methy->rna,-2.0,0.1658109873533249,0.022310203706016257
ALDH1A3,methy->rna,-1.5,0.1311493068933487,0.022649223025505236
ALDH1A3,methy->rna,-1.0,0.07477770000696182,0.02312037704205846
ALDH1A3,methy->rna,-0.5,-0.01988801918923855,0.023714989716932523
ALDH1A3,methy->rna,0.0,-0.09118711203336716,0.024662833328639385
ALDH1A3,methy->rna,0.5,-0.14169979095458984,0.0240881073288554
ALDH1A3,methy->rna,1.0,-0.22111719846725464,0.02450319508750536
ALDH1A3,methy->rna,1.5,-0.2826197147369385,0.024727787023366463
ALDH1A3,methy->rna,2.0,-0.32751187682151794,0.02484909247237344
ANLN,methy->rna,-2.0,0.0671704113483429,0.033853438972741304
ANLN,methy->rna,-1.5,0.04807574301958084,0.03371488387624524
