gene,arrow,slope,slope_lo,slope_hi,frac_patients_neg,rho,rho_lo,rho_hi,Delta,n,rho_obs,rho_minus_obs,curated_flag
ACTR3B,methy->rna,-0.13717289921776152,-0.1420130546115546,-0.13259763877508282,0.9732620320855615,-0.33867673239820684,-0.36469839419422995,-0.3148977810080153,-0.4193859100341797,748,-0.19187352495737217,-0.14680320744083467,0
AGR2,methy->rna,-0.15430817446395848,-0.15910523561059906,-0.14922561520628205,0.9973262032085561,-0.4221759458484543,-0.4526638291307788,-0.39214436369466,-0.47349798679351807,748,-0.6147023856476289,0.1925264397991746,0
AKT1,methy->rna,-0.23338800080783778,-0.2403339343583479,-0.226371981040668,0.9986631016042781,-0.4981313460689506,-0.5231319789334192,-0.47303429236032807,-0.7205718755722046,748,-0.34566997920356374,-0.15246136686538686,0
AKT2,methy->rna,-0.14582643394151773,-0.149982965617356,-0.141901401811281,1.0,-0.3500312702792007,-0.37286353154242735,-0.3313413201223848,-0.4461076855659485,748,-0.18787072612800562,-0.1621605441511951,0
ALDH1A3,methy->rna,-0.13094000234803993,-0.13459889238541212,-0.12746410675321534,0.9946524064171123,-0.2489470356496461,-0.2651912718450399,-0.23546172778737143,-0.4009955823421478,748,-0.25018320248561127,0.001236166835965169,0
ANLN,methy->rna,-0.06971019901556864,-0.07309711647718715,-0.06613120882633705,0.9331550802139037,-0.1077162644067085,-0.11896222995851037,-0.09907307774417284,-0.21285444498062134,748,-0.2576849185629298,0.1499686541562213,0
AP2B1,methy->rna,-0.07861574532147896,-0.08132326444292731,-0.07613943456890646,0.9946524064171123,-0.1156558365697499,-0.12502016826810838,-0.10930066175382984,-0.23988519608974457,748,-0.0016592934785772102,-0.11399654309117269,0
APC,methy->rna,-0.051657101434884584,-0.0536960231318168,-0.04961689585262665,0.9719251336898396,-0.07582037710798943,-0.08253864452534211,-0.07125045271797568,-0.15852892398834229,748,0.03360710858541653,-0.10942748569340596,1
AR,methy->rna,-0.14987578099546206,-0.15509187240666217,-0.14493485838698583,0.9919786096256684,-0.36257820641765826,-0.3921847108812165,-0.33673385773311254,-0.460172176361084,748,-0.219036575674026,-0.14354163074363224,0
ARID1A,methy->rna,-0.06462209494137032,-0.06712974741252482,-0.061932319291359325,0.9759358288770054,-0.10404290157130269,-0.11268612698967247,-0.09768104467193522,-0.19756928086280823,748,-0.0674023424972245,-0.03664055907407819,0
ARID1B,methy->rna,-0.08117087079081751,-0.0838542220877546,-0.07845147501478683,0.982620320855615,-0.1365364903919492,-0.14781819472539973,-0.12748369385000205,-0.24862614274024963,748,-0.1397368889106041,0.00320039851865489,0
ASPM,methy->rna,-0.05174122272715481,-0.05454776557568249,-0.04909359725320175,0.9171122994652406,-0.07413511932994275,-0.08233172188495086,-0.06807579122100092,-0.15771780908107758,748,-0.02509486067682954,-0.04904025865311321,0
ATM,methy->rna,-0.06336172041823547,-0.0654951053550081,-0.06135127768526124,0.9866310160427807,-0.09924716836438455,-0.10682560627063163,-0.09432150036271696,-0.1940383017063141,748,0.10013703959633884,-0.19938420796072337,0
AURKA,methy->rna,-0.048887128527060404,-0.05129533459589096,-0.04619110546570558,0.9010695187165776,-0.06877528495906586,-0.07573151041695096,-0.06369182116238284,-0.14887817203998566,748,-0.05175450774456793,-0.017020777214497927,0
AURKB,methy->rna,-0.05467682016964458,-0.05789434267277808,-0.05170513887110157,0.9037433155080213,-0.08580607785404507,-0.09608346117934212,-0.07925249706545698,-0.16616986691951752,748,-0.023437502464109163,-0.0623685753899359,0
AZGP1,methy->rna,-0.16909136011957487,-0.17410622091173883,-0.1638096026460426,0.9973262032085561,-0.3188837680460748,-0.3400576941304917,-0.3003393037065872,-0.5174142122268677,748,-0.16077392253233605,-0.15810984551373877,0
BAG1,methy->rna,-0.11471245551906002,-0.11740431447957171,-0.11186469009042234,1.0,-0.26129593690565645,-0.27685705036391184,-0.24906917594954162,-0.3506150245666504,748,-0.170076650892043,-0.09121928601361345,0
BBC3,methy->rna,-0.10511526217934827,-0.1082519390036098,-0.10213783191545735,0.9973262032085561,-0.18247253149955772,-0.1961209637742621,-0.171576443235646,-0.3215552270412445,748,0.0304369203568443,-0.21290945185640203,0
BCL2,methy->rna,-0.07478157268980694,-0.07728181116070237,-0.07231624298224641,0.9946524064171123,-0.12927262586823396,-0.14077874503812438,-0.12074888184509883,-0.22880926728248596,748,-0.19948278151110532,0.07021015564287136,0
BIRC5,methy->rna,-0.06467498082812019,-0.0671275710349354,-0.062237754267583975,0.9652406417112299,-0.08921715067041784,-0.0969742604318087,-0.08404856418532672,-0.19753529131412506,748,-0.1852446246094351,0.09602747393901727,0
BLVRA,methy->rna,-0.17950485170513406,-0.18470234572375377,-0.1742033796253159,1.0,-0.42502199978184,-0.4538532919218381,-0.39964514521221856,-0.5494952201843262,748,-0.2940038141757609,-0.13101818560607914,0
