tf,target,edge_sign,is_edge,null,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
AR,AKT1,1,1,real,0.014474530819531218,0.014042944573138844,0.014879380398666079,0.0,748,0.29868313632562377
AR,ALDH1A3,1,1,real,-0.002431216936536903,-0.002515757891604529,-0.0023404163041174054,0.9719251336898396,748,-0.06143826014722319
AR,AZGP1,1,1,real,0.01098256116747896,0.010703660760326156,0.011257648426721266,0.0,748,0.3943911011300731
AR,BCL2,1,1,real,0.018951797071983793,0.018500869023096302,0.01935354021643687,0.0,748,0.463074210739909
AR,CCNB1,-1,1,real,0.0009243841864477423,0.0008277029591137722,0.0010189940567554181,0.23529411764705882,748,-0.20520665446107667
AR,CCND1,1,1,real,0.013880469985746192,0.013543683557036338,0.014229667401833563,0.0,748,0.3520133263038899
AR,CDC6,1,1,real,-0.0004709135785403398,-0.0005417008322531646,-0.0003975508902493782,0.6991978609625669,748,-0.19985122156556848
AR,CDH1,-1,1,real,0.007283545888872376,0.007096668370081561,0.007471293270608257,0.0,748,0.21376073691222724
AR,CDK6,1,1,real,0.004583960686645963,0.00439255788775701,0.004780411188984156,0.022727272727272728,748,-0.21406457629202924
AR,CDKN1B,1,1,real,0.01836784860109263,0.017737476441282082,0.019036710170117776,0.0,748,0.28570786494978484
AR,EGFR,-1,1,real,-0.002139853206446557,-0.0022538946623676974,-0.0020412880032098756,0.9157754010695187,748,-0.14463223541133738
AR,ERBB2,1,1,real,7.523828420170536e-05,-2.016965583516298e-05,0.00016713368657328222,0.5066844919786097,748,0.38448610621266116
AR,ERBB3,1,1,real,0.021572068318145253,0.021089089584446375,0.02206287188384285,0.0,748,0.5696327829300738
AR,ESR1,-1,1,real,0.02559441428954436,0.024986611957469443,0.026226564084449257,0.0,748,0.5801898653651602
AR,FOXA1,1,1,real,0.06063328045353944,0.05959741574957379,0.06174558907709916,0.0,748,0.6733789120295961
AR,GREB1,1,1,real,0.010336684636894527,0.010086846039150077,0.010591611945567944,0.0,748,0.48962111118858476
AR,GSTP1,1,1,real,0.002502730937878836,0.002347087092043328,0.00266839915906754,0.13903743315508021,748,-0.3117696456543612
