tf,target,edge_sign,obs_coexpr
AR,AKT1,1,0.36175673612064146
DNMT3B,AKT1,1,0.27338397320278857
ESR1,AKT1,1,0.025802720065711875
EZH2,AKT1,1,0.12677551129187206
MYC,AKT1,1,-0.40813874711328135
NCOA3,AKT1,1,0.10318802544912983
TP53,AKT1,-1,0.026119225183771744
HIF1A,AKT1,1,-0.10191643164275176
ESR1,AKT2,1,0.09852327653440812
TP53,AKT2,1,0.07507284319570343
TWIST1,AKT2,1,-0.08244859533904972
AR,ALDH1A3,1,-0.17583225769748315
DNMT3B,APC,1,-0.016007046917944946
EZH2,APC,-1,-0.016951091282779926
MYC,APC,1,0.018628919642890727
TP53,APC,1,0.06897379584963412
HIF1A,APC,-1,0.042280889289608645
ARID1A,AR,1,0.05097035494483962
E2F1,AR,-1,-0.043486070579799245
ESR1,AR,1,0.4775875669161448
EZH2,AR,1,-0.1620652123971336
FOXA1,AR,-1,0.5113406923323334
FOXM1,AR,1,-0.18127107887357075
HOXB13,AR,-1,0.05311191096895667
MYBL2,AR,1,-0.00023090367908670158
MYC,AR,1,-0.33637805869393916
NCOA3,AR,1,0.05995119381845236
NCOR1,AR,1,0.19102826081654886
SMAD3,AR,1,0.22570227174762056
SMAD4,AR,-1,-0.19519085670150518
TP53,AR,-1,0.050601291675966956
TWIST1,AR,1,-0.2464575953768376
ZEB1,AR,-1,-0.05694350663846878
HIF1A,AR,1,-0.30839674333292094
E2F4,AR,1,-0.3343945731445207
BRCA1,ASPM,1,0.3952356582426509
BRCA1,ATM,1,-0.16721965090509996
E2F1,ATM,1,-0.012996530712425153
MYC,ATM,1,0.1550548826823255
RBBP8,ATM,1,0.05943624678047313
TWIST1,ATM,1,0.10806002236127848
E2F1,AURKA,1,0.08912306279020238
ESR1,AURKA,1,-0.32236264789896074
GATA3,AURKA,1,-0.36333295138909283
MYC,AURKA,1,0.1349308478752157
TP53,AURKA,-1,0.004568165825283375
HIF1A,AURKA,1,0.12638337956746526
E2F1,AURKB,1,0.08799904047599359
FOXM1,AURKB,1,0.8781194542807687
E2F4,AURKB,1,0.3306007057113447
DNMT3B,BAG1,1,-0.09405744853576024
TP53,BAG1,-1,0.053627938436449335
E2F1,BBC3,1,0.029794138584760998
MYC,BBC3,1,0.01811882331813122
SMAD3,BBC3,1,0.0038940986200858446
SMAD4,BBC3,1,-0.08236753844413963
TP53,BBC3,1,-0.012833123602129513
AR,BCL2,1,0.2639710462314973
E2F1,BCL2,1,0.003138776537937702
ESR1,BCL2,1,0.6331110195252685
EZH2,BCL2,1,-0.342188071009464
FOXA1,BCL2,-1,0.4887853999862804
MYBL2,BCL2,1,-0.06868142042174843
MYC,BCL2,1,0.010453874442516031
NCOA3,BCL2,1,-0.1466117406838943
PGR,BCL2,1,0.4172073939051251
RUNX1,BCL2,1,0.1428261550432385
SMAD3,BCL2,-1,0.42665747131968396
SMAD4,BCL2,1,0.30692960037656886
TP53,BCL2,-1,0.08542808897968011
TWIST1,BCL2,1,-0.2568130702192581
TRPS1,BCL2,1,0.32310668842669793
TOX3,BCL2,1,0.18929827899142773
HIF1A,BCL2,1,-0.3613182131315642
E2F1,BIRC5,1,0.09714595032368112
ESR1,BIRC5,1,-0.27441073618632295
FOXM1,BIRC5,-1,0.8185606346062021
GATA3,BIRC5,1,-0.3171263529733683
MYBL2,BIRC5,1,0.07193922023103554
MYC,BIRC5,1,0.04935381332157548
RB1,BIRC5,1,-0.2700230964873115
RUNX1,BIRC5,1,-0.25210231561693774
SMAD3,BIRC5,1,-0.03226789645310159
TP53,BIRC5,-1,-0.06113155778431032
HIF1A,BIRC5,1,0.03385082339978923
E2F4,BIRC5,-1,0.26419545246726805
EP300,BIRC5,-1,-0.15033723098971566
DNMT3A,BRCA1,1,-0.1091351917569719
DNMT3B,BRCA1,1,0.22970001552094135
E2F1,BRCA1,1,0.08127450249127233
ESR1,BRCA1,1,0.16929922747952966
EZH2,BRCA1,1,0.24922112584608963
FOXA1,BRCA1,1,0.15845187046711423
MYC,BRCA1,1,-0.0735692682665373
NCOA3,BRCA1,1,0.13828676404422463
RB1,BRCA1,-1,-0.11565416570654036
TP53,BRCA1,-1,-0.016483996209051832
TOX3,BRCA1,-1,0.03777112291200079
CTBP1,BRCA1,-1,-0.02668057642552114
HIF1A,BRCA1,1,-0.14065611975368303
E2F4,BRCA1,-1,-0.1157763610504189
EP300,BRCA1,1,-0.11879050127898476
BRCA1,BRCA2,1,0.030412447226537125
ESR1,BRCA2,1,-0.11706557438785334
FOXM1,BRCA2,1,0.11171433692866703
MYC,BRCA2,1,-0.10660342002537739
TP53,BRCA2,-1,-0.023754439467804443
CTBP1,BRCA2,-1,-0.10131574225805293
ESR1,CA12,1,0.6688451370008627
ESR1,CBFB,1,-0.39028431549171655
MYC,CBFB,1,0.31956659758025996
AR,CCNB1,-1,-0.11525754672015631
BRCA1,CCNB1,1,0.44494548880785634
E2F1,CCNB1,1,0.09300050414421573
FOXM1,CCNB1,1,0.6393821269284256
MYBL2,CCNB1,1,0.09768010928649025
MYC,CCNB1,1,-0.004254949006217294
TP53,CCNB1,-1,-0.08879967323268405
E2F4,CCNB1,1,0.02147867294333581
DNMT3B,CCNB2,1,0.4865397560522275
MYBL2,CCNB2,-1,0.06259612727137244
MYC,CCNB2,1,0.163477826742062
TP53,CCNB2,-1,-0.0062179240275288955
E2F4,CCNB2,-1,0.31546599329255
EP300,CCNB2,1,-0.07680998083858813
AR,CCND1,1,0.2746232074419428
BRCA1,CCND1,1,0.25228720530875365
DNMT3A,CCND1,-1,0.002191102898374886
E2F1,CCND1,1,-0.014691750163634039
ESR1,CCND1,1,0.51887847049379
EZH2,CCND1,1,-0.06986507200545312
FOXA1,CCND1,1,0.39025454271605453
FOXM1,CCND1,1,0.02090593899254076
GATA3,CCND1,1,0.5198124596778592
HOXB13,CCND1,-1,-0.0375882738856938
HTATIP2,CCND1,-1,-0.18759226704341644
MYBL2,CCND1,1,-0.02335643091680342
MYC,CCND1,1,-0.15031186015367384
NCOA3,CCND1,1,0.012107686315624382
NCOR1,CCND1,1,0.15922093414848798
PGR,CCND1,1,0.2603762897912645
SMAD3,CCND1,1,0.4135836418512079
SMAD4,CCND1,1,-0.058940879455750224
TP53,CCND1,-1,0.00455064306958485
TRPS1,CCND1,1,0.21271576691827812
BTG2,CCND1,-1,0.04753482696140666
HIF1A,CCND1,1,-0.3622756372256296
E2F4,CCND1,1,-0.22784155268610973
EP300,CCND1,1,-0.028601426204690528
E2F1,CCNE2,1,0.07984114687539251
EZH2,CCNE2,1,0.6247513718994236
FOXM1,CCNE2,1,0.6335251441586309
MYC,CDC20,1,0.0432874976294027
TP53,CDC20,-1,-0.06573947905989644
AR,CDC6,1,-0.049047933889467245
E2F1,CDC6,1,0.016912708905456115
FOXM1,CDC6,1,0.38960102493490073
E2F4,CDC6,1,0.07484814626501185
