gene,slope_single,slope_batched,diff
ACTR3B,-0.14818000606885395,-0.1467961554754187,0.0013838505934352652
ANLN,-0.07048392518732279,-0.06850814947015116,0.0019757757171716267
BIRC5,-0.0609606387850259,-0.060945680676361816,1.4958108664087089e-05
DLGAP5,-0.050753490707866916,-0.050753490707866916,0.0
ESM1,-0.12851839658286285,-0.13222247488110253,-0.0037040782982396825
EXO1,-0.04718529730757164,-0.04718529730757164,0.0
EZH2,-0.02875439774505661,-0.029614075937486002,-0.000859678192429391
FGF3,-0.10575605525092327,-0.10457778740931574,0.0011782678416075304
MCM6,-0.05498275396429872,-0.05498275396429872,0.0
TSPAN14,-0.22985308755732037,-0.22491666244342093,0.00493642511389944
SLPI,-0.14937973607837018,-0.15249663120975682,-0.003116895131386632
ENPP2,-0.10465781487214897,-0.10255421720546425,0.00210359766668472
RGS2,-0.10720127883467678,-0.10601541878536855,0.001185860049308235
EPHX2,-0.2122654179744456,-0.21211032887859313,0.000155089095852462
C6orf62,-0.1039794361539004,-0.10370334956376631,0.0002760865901340892
PYCARD,-0.20227548408570226,-0.20252566130943064,-0.00025017722372838724
CYB5R1,-0.08028465366852594,-0.07449251987499064,0.005792133793535298
SELENBP1,-0.17174883539136418,-0.17316163717225402,-0.001412801780889844
NPEPPS,-0.0860093547038754,-0.07814440645095717,0.007864948252918225
RPRD2,-0.09538508973701952,-0.08924751333579416,0.006137576401225364
