tf,target,edge_sign,is_edge,null,mask_mode,n_targets_of_tf,slope,slope_lo,slope_hi,frac_patients_neg,n,obs_coexpr
AR,AKT1,1,1,real,whole_gene,55,0.009520890959040487,0.009303696997191444,0.00973614252270772,0.0,748,0.29868313632562377
AR,ALDH1A3,1,1,real,whole_gene,55,-0.003052782072144462,-0.0031413111363312657,-0.0029595015557510223,0.9906417112299465,748,-0.06143826014722319
AR,AZGP1,1,1,real,whole_gene,55,0.010051684733065188,0.00980314152878037,0.01029611100018653,0.0,748,0.3943911011300731
AR,BCL2,1,1,real,whole_gene,55,0.01736538663017605,0.016936466067818987,0.017714885011584698,0.0,748,0.463074210739909
AR,CCNB1,-1,1,real,whole_gene,55,0.0012729488589191627,0.00118760284646385,0.0013526393375450773,0.14304812834224598,748,-0.20520665446107667
AR,CCND1,1,1,real,whole_gene,55,0.010514878398164403,0.010313609569566326,0.010718559990994964,0.0,748,0.3520133263038899
AR,CDC6,1,1,real,whole_gene,55,-0.00041989526888206195,-0.000489973443045252,-0.00033970898838523545,0.7179144385026738,748,-0.19985122156556848
AR,CDH1,-1,1,real,whole_gene,55,0.004911426056563229,0.0047734927160674925,0.005054139018171041,0.0,748,0.21376073691222724
AR,CDK6,1,1,real,whole_gene,55,0.0007436002870281227,0.0006238453210289592,0.0008593314409174247,0.3181818181818182,748,-0.21406457629202924
AR,CDKN1B,1,1,real,whole_gene,55,0.012742126818249126,0.012311382531937035,0.013141509126554327,0.0,748,0.28570786494978484
AR,EGFR,-1,1,real,whole_gene,55,-0.0032295363719463876,-0.0033455562299082578,-0.003132944818389594,0.9906417112299465,748,-0.14463223541133738
AR,ERBB2,1,1,real,whole_gene,55,-0.0011917462209721033,-0.0012716758972114383,-0.0011091392168898866,0.8836898395721925,748,0.38448610621266116
AR,ERBB3,1,1,real,whole_gene,55,0.019858010168188982,0.019510119067678897,0.020208396989543617,0.0,748,0.5696327829300738
AR,ESR1,-1,1,real,whole_gene,55,0.02659643730007563,0.02609809559735585,0.0271223244881245,0.0,748,0.5801898653651602
AR,FOXA1,1,1,real,whole_gene,55,0.05919997764219249,0.058379833443371915,0.06012684804246073,0.0,748,0.6733789120295961
AR,GREB1,1,1,real,whole_gene,55,0.01041871376786756,0.010204522127853463,0.010647088086784322,0.0,748,0.48962111118858476
AR,GSTP1,1,1,real,whole_gene,55,0.00088587566760307,0.0007093380428763471,0.0010777302161089435,0.39037433155080214,748,-0.3117696456543612
AR,IGF1R,1,1,real,whole_gene,55,0.019327862063338135,0.018935129716905225,0.01970198461184641,0.0,748,0.4585296804227088
AR,IGFBP3,1,1,real,whole_gene,55,0.00384868474912941,0.0037037740536482342,0.003984926324941586,0.020053475935828877,748,-0.0365825627792118
AR,MDM2,1,1,real,whole_gene,55,0.009593582121736692,0.009388347617840251,0.009795233490500214,0.0,748,0.3808665243048334
AR,MMP2,1,1,real,whole_gene,55,0.005705961495481844,0.005540812965065368,0.005873014499488745,0.00267379679144385,748,0.2209703440463434
AR,MMP9,1,1,real,whole_gene,55,-0.0006281444350499895,-0.0007274581591751025,-0.0005316513755726884,0.7045454545454546,748,-0.21333876672693766
