gene,predictor_set,R2_insample,R2_oof
ACTR3B,rna_others,0.8203455867755131,0.5999935166641601
AGR2,rna_others,0.9143676653761023,0.8192243754047974
AKT1,rna_others,0.8663450617523231,0.7136341593285358
AKT2,rna_others,0.8525573368504606,0.675014933904905
ALDH1A3,rna_others,0.7976637314181496,0.5638824095776298
ANLN,rna_others,0.9502554327844248,0.8986476558664803
AP2B1,rna_others,0.8461203687868162,0.6755800775743265
APC,rna_others,0.961171610772323,0.9133532945929428
AR,rna_others,0.9223603878923865,0.834293748511636
ARID1A,rna_others,0.9232188398773697,0.8189490969519282
ARID1B,rna_others,0.8696539597097644,0.7073088641936045
ASPM,rna_others,0.966266728990896,0.9306019164096693
ATM,rna_others,0.9294272335749046,0.8552975310638438
AURKA,rna_others,0.9467907830485012,0.8934287488599439
AURKB,rna_others,0.9588531899820971,0.9160689651648238
AZGP1,rna_others,0.8180226445636565,0.5513657979858445
BAG1,rna_others,0.8075519873652843,0.5926932730448107
BBC3,rna_others,0.8971887883666211,0.7817181397024283
BCL2,rna_others,0.9140670783504383,0.8104951192040393
BIRC5,rna_others,0.9647220239773983,0.9258186953545893
BLVRA,rna_others,0.8060223505399879,0.5821972024763158
BRCA1,rna_others,0.8788461768071796,0.7334738885186917
BRCA2,rna_others,0.8750421296648773,0.744885806791148
BRD4,rna_others,0.827401442022325,0.635187923055929
BUB1,rna_others,0.9664857377181256,0.929087871282822
BUB1B,rna_others,0.9668033179921267,0.9299614138061869
CA12,rna_others,0.9295272170674653,0.8430115242781662
CBFB,rna_others,0.8939609298526316,0.7772347187139541
CCNB1,rna_others,0.9509587040009696,0.8981408145271914
CCNB2,rna_others,0.9662667655388109,0.9265579809210369
CCND1,rna_others,0.867036462254987,0.71025006210765
CCNE2,rna_others,0.9297854212391502,0.8471728964225378
CD44,rna_others,0.7719584535683481,0.465935851409522
CDC20,rna_others,0.9579865881865267,0.9174178655679233
CDC6,rna_others,0.9121327174028071,0.8155646008238608
CDCA7,rna_others,0.8712106978880201,0.7356454463850501
CDH1,rna_others,0.7614676093283463,0.5486802184933794
CDH3,rna_others,0.8621762297767324,0.6981948693494515
CDK4,rna_others,0.8602668790042394,0.6957239261952586
CDK6,rna_others,0.8342876320242578,0.6304352131566071
CDKN1B,rna_others,0.7278319685367654,0.38862556887360433
CDKN2A,rna_others,0.8111701375987845,0.563606995416005
CDKN3,rna_others,0.9276136883432571,0.852897962096668
CENPA,rna_others,0.960917985177719,0.9199886182771773
CENPF,rna_others,0.963193955384195,0.9191230995922173
CEP55,rna_others,0.9638553548926291,0.9251931701356895
CHEK1,rna_others,0.9134581460672577,0.8256148634016539
CHEK2,rna_others,0.8348482176457704,0.6561818897331648
DLGAP5,rna_others,0.9592657803202012,0.9139361316198288
DNMT1,rna_others,0.9101037626425428,0.8070960902892743
DNMT3A,rna_others,0.868576655138825,0.7024513163367601
DNMT3B,rna_others,0.8781907206995305,0.7273822266063739
E2F1,rna_others,0.9477142342924167,0.8915331753066977
EGFR,rna_others,0.9289732028651201,0.833012753812712
EGLN1,rna_others,0.8492476180718567,0.6712863900373545
ERBB2,rna_others,0.9187364822711073,0.8096618274911165
ERBB3,rna_others,0.9141992565386861,0.8050651345225727
ESM1,rna_others,0.8115991201255969,0.6296841082406278
ESR1,rna_others,0.9486481616258947,0.8905522271716311
EXO1,rna_others,0.9577016689399787,0.9150532278710218
EXT1,rna_others,0.8128268571935814,0.587904164746734
EZH2,rna_others,0.9179813523552837,0.8156199929931612
F12,rna_others,0.7657584804837383,0.5278290077836734
FGF19,rna_others,0.5528178603168405,0.09424239263212253
FGF3,rna_others,0.4373151525779687,-0.17157432367123726
FGF4,rna_others,0.486138142208387,-0.24342780711907452
FGFR1,rna_others,0.7966965147018774,0.5159748026298179
FGFR2,rna_others,0.7246723674973057,0.41872190157113487
FGFR4,rna_others,0.7921377151018127,0.5951693636930528
FLT1,rna_others,0.9368741774297235,0.8576375691189541
FOXA1,rna_others,0.9706516952868789,0.9306190154038968
FOXC1,rna_others,0.9344059614376458,0.8556919893434304
FOXM1,rna_others,0.9711667396416903,0.939175031929392
GABRP,rna_others,0.9219493099712143,0.8311775129319205
GATA3,rna_others,0.9408246480507051,0.8613900911803062
GMPS,rna_others,0.9326039960490695,0.8478774280331506
GPR160,rna_others,0.9087408201795028,0.7990297882918087
GPR18,rna_others,0.8852751184835208,0.7803164208983004
GRB7,rna_others,0.9237505892462803,0.8203416858094729
GREB1,rna_others,0.8770469099510003,0.7514411929287622
GSTM1,rna_others,0.3584022995365429,-0.15246672305369735
GSTP1,rna_others,0.839342943967399,0.659726024244365
HOXB13,rna_others,0.6176515365617037,0.23776883961827455
HTATIP2,rna_others,0.7744557515790675,0.5266868850818367
IGF1R,rna_others,0.8588446411408954,0.6867864030649118
IGFBP3,rna_others,0.7718055995249452,0.4862291733158697
IGFBP5,rna_others,0.6731376880789371,0.3256494352655195
IL17RB,rna_others,0.7706933919241141,0.5582219671925195
IL25,rna_others,0.5471814914924401,0.06666826602162157
IL6ST,rna_others,0.9398409466418759,0.8704626773084937
JUP,rna_others,0.8925846243386633,0.7610090497617075
KIF23,rna_others,0.9549462616440318,0.904291606964676
KIF2C,rna_others,0.9655463729856553,0.9279631672026308
KRT5,rna_others,0.928351010592662,0.8398169120104979
LIN9,rna_others,0.9251676985077328,0.8430247486365003
LMO1,rna_others,0.6755005257243801,0.2411045259201544
LOX,rna_others,0.9539601022641726,0.8995231367456273
MAP2K4,rna_others,0.8228237688078824,0.6320726112367276
MAP3K1,rna_others,0.8952248946357462,0.7788253426722219
MCM2,rna_others,0.9431932687868612,0.8829474572024729
MCM6,rna_others,0.9315477245275204,0.8463146049099637
MDM2,rna_others,0.7767347641404488,0.5251008478187724
MDM4,rna_others,0.9220836568578624,0.8365154266247158
MELK,rna_others,0.9524626143742857,0.9062426531054472
MGP,rna_others,0.7316804709615117,0.415755690260016
MIA,rna_others,0.7831327942437903,0.5058290738898754
MKI67,rna_others,0.9565911582714413,0.9066744440714164
MLPH,rna_others,0.9622122788336572,0.9159833631411297
MMP2,rna_others,0.9582501296366421,0.9017160980514131
MMP9,rna_others,0.7398506976261204,0.4834491905555255
MTDH,rna_others,0.9533989339838679,0.8962628690148479
MTOR,rna_others,0.9073175795053554,0.7907713746432233
MYBL2,rna_others,0.9501039060932934,0.8953249932451671
MYC,rna_others,0.8770581341282575,0.7302129297676445
NCOA3,rna_others,0.9304785489887888,0.8541936999915225
NCOR1,rna_others,0.8677944921829845,0.71267251577275
NDC80,rna_others,0.9523262342104657,0.9022639392647029
NDRG1,rna_others,0.8380034364129131,0.6617500257207796
NEK2,rna_others,0.9577783879422521,0.9169292274538174
NF1,rna_others,0.9352908732907541,0.8595447458896217
NMU,rna_others,0.7802908235988504,0.5205838141716251
NOTCH3,rna_others,0.8401669386276139,0.6480816285245569
NUF2,rna_others,0.9004635296443899,0.806426944988244
NUSAP1,rna_others,0.6674648608313869,0.26897025064291413
OXCT1,rna_others,0.7570503906433264,0.4683970843262528
PAK1,rna_others,0.7733981014916476,0.5219838109252606
PCOLCE,rna_others,0.9515645808708624,0.8845328387751109
PGR,rna_others,0.87468688646588,0.7484738264132031
PHGDH,rna_others,0.8333546167913716,0.6592286056065675
PIK3CA,rna_others,0.920997678283906,0.8314015518723228
PIK3R1,rna_others,0.8666962383765572,0.7088293291673605
PITX2,rna_others,0.5897995996369907,0.10649438868034944
PLAT,rna_others,0.8175825336181175,0.6165923822985409
PLAU,rna_others,0.9085017921819886,0.8015009785628868
PLK1,rna_others,0.9719388091396401,0.9427356589218444
PPM1D,rna_others,0.825183740854522,0.6175127837120826
PRC1,rna_others,0.7677221716062101,0.4760990232424106
PTEN,rna_others,0.8074876946277066,0.5915082575865893
PTTG1,rna_others,0.9568018058165817,0.9122121433730499
RACGAP1,rna_others,0.9526751739345375,0.8968369600446987
RAD51,rna_others,0.9415529931541025,0.8786507060279345
RASSF1,rna_others,0.8399489257795116,0.6445664931608133
RASSF7,rna_others,0.892964486133357,0.7680006783305706
RB1,rna_others,0.894032562533299,0.7598827234099592
RBBP8,rna_others,0.865684508378338,0.7321975727233132
RFC4,rna_others,0.9308869709415883,0.8460192227500405
RRM2,rna_others,0.9281720872659724,0.8563659360072379
RSF1,rna_others,0.875625680412895,0.7366145052446418
RSPO2,rna_others,0.6453981378043068,0.1704273353978143
RUNDC1,rna_others,0.9329686675226734,0.8595858950560274
RUNX1,rna_others,0.866025738776101,0.714094599785368
SCG5,rna_others,0.7435815531162602,0.4167871414730253
SCUBE2,rna_others,0.8648248613944244,0.7402422362422156
SEC14L2,rna_others,0.8582048551913475,0.7152624727924669
SERPINB5,rna_others,0.877858988804585,0.7340252248768949
SERPINE1,rna_others,0.8296068826453578,0.6618594795402284
SFRP1,rna_others,0.9346642654978876,0.8575883219720486
SFRP2,rna_others,0.9283878771058893,0.8251995233363614
SIAH2,rna_others,0.8369731580873556,0.6721419342769546
SLC2A3,rna_others,0.8429182990763422,0.6725650348934659
SLC39A6,rna_others,0.8954899315689248,0.7950005840768178
SMAD3,rna_others,0.8352851252293481,0.6322601473475135
SMAD4,rna_others,0.8783364270459332,0.7137526840784605
SNAI2,rna_others,0.9082288223448657,0.7789750951059039
STC2,rna_others,0.8632239514893884,0.7107419543151068
TBX3,rna_others,0.8509999183802077,0.684507649697291
TFF3,rna_others,0.9015164478454374,0.7943934677550797
TGFB1,rna_others,0.9040243504513439,0.7974580011009995
TMEM45B,rna_others,0.7970356410578247,0.5998757599090991
TOP2A,rna_others,0.9581332995920171,0.9140937920924878
TP53,rna_others,0.6180963545499993,0.13781040257065946
