tf,target,edge_sign,coexpr__pooled,coexpr__CLAUDIN_SUBTYPE=Basal,coexpr__CLAUDIN_SUBTYPE=Her2,coexpr__CLAUDIN_SUBTYPE=LumA,coexpr__CLAUDIN_SUBTYPE=LumB,coexpr__CLAUDIN_SUBTYPE=Normal,coexpr__CLAUDIN_SUBTYPE=claudin-low
AR,AKT1,1,0.36175673612064146,0.4808375532513463,0.22452461630456447,0.33266600266401064,0.19353763603152943,0.5165075357058313,0.24084851446040884
DNMT3B,AKT1,1,0.27338397320278857,0.30781921451186517,0.3090532190552122,0.2943706885476508,0.12887721713540592,0.4246981772271759,0.18850016781243362
ESR1,AKT1,1,0.025802720065711875,0.1251466923880717,-0.1508573706540619,0.059315565262261054,-0.052179738733216484,-0.03064783397774797,-0.0656203694613335
EZH2,AKT1,1,0.12677551129187206,-0.2091190418776626,0.27085623166946665,0.26343845465653104,0.21479002279154893,0.2906302584836762,0.08540426382081533
MYC,AKT1,1,-0.40813874711328135,-0.37251426734185356,-0.3400928272445115,-0.3954189576758307,-0.1864604542136276,-0.5403219442910124,-0.28544780804997383
NCOA3,AKT1,1,0.10318802544912983,0.39474157497565837,0.07724711822497235,0.0017677994530425351,-0.11196034484950146,0.2936484921659864,0.02963316430321309
TP53,AKT1,-1,0.026119225183771744,-0.1474439353749699,-0.19457387738830834,0.1898950955803823,0.24004078250664562,-0.1929219600725953,0.05746034717766884
HIF1A,AKT1,1,-0.10191643164275176,-0.20905071939554698,-0.19279478345055379,-0.0810127080508322,0.06672591013679388,-0.21815671111812518,0.039733874595024074
ESR1,AKT2,1,0.09852327653440812,-0.15461377702757015,0.01078619025951384,0.05401447465059345,0.01245176134152464,0.024402320686389877,-0.10180392658263106
TP53,AKT2,1,0.07507284319570343,-0.0424523752109959,0.09605745952759866,0.10779590835783716,0.04815572271394668,0.12948025226935211,0.19021253958432746
TWIST1,AKT2,1,-0.08244859533904972,-0.02726067036411864,0.07809566223166062,-0.052959766381134366,-0.03602615564478743,-0.04915972768834565,-0.09800474441138932
AR,ALDH1A3,1,-0.17583225769748315,-0.013057632023149263,-0.007887468321990944,-0.08217988071952287,-0.05102680125304559,-0.15663221021068416,-0.05181636981750682
DNMT3B,APC,1,-0.016007046917944946,0.044156462660241175,-0.019769355619465245,0.027216781520328845,-0.011286191691532929,-0.07921565533022963,0.02155990218932439
EZH2,APC,-1,-0.016951091282779926,-0.11533236878064465,-0.034129673396167313,0.041847488429012196,0.045466960964064156,-0.0018503942444489656,-0.05525271839982172
MYC,APC,1,0.018628919642890727,0.14324009324009324,-0.009024174948033828,0.0039351517406069625,0.02876614435898463,0.08537047265840764,-0.06299473274442965
TP53,APC,1,0.06897379584963412,0.28319668836910217,0.15998519320026194,-0.035712334849339396,0.07130993780975761,0.07063836502801232,0.013751486909488592
HIF1A,APC,-1,0.042280889289608645,0.15300618921308576,0.1556729975227085,0.006922107688430753,0.0717082141019994,0.09917146689812989,-0.15107000404119736
ARID1A,AR,1,0.05097035494483962,0.01913835216055962,-0.06506806017969599,-0.045191187948993496,0.023071546853096092,-0.1372101097660469,0.12100559832721017
E2F1,AR,-1,-0.043486070579799245,-0.004412828550759585,-0.062178308038383784,0.003278509271405534,-0.04465715280194918,-0.013958810068649886,-0.1190555013938706
ESR1,AR,1,0.4775875669161448,0.35911502290812636,-0.0027142002904410713,0.3839900159600638,0.27440189250544433,0.2516846839738026,0.6536305706307691
