tf,target,edge_sign,coexpr__pooled,coexpr__ER_IHC=Negative,coexpr__ER_IHC=Positve
AR,AKT1,1,0.36175673612064146,0.5892134351471139,0.3026550390488391
DNMT3B,AKT1,1,0.27338397320278857,0.33626402230019575,0.2792113332238352
ESR1,AKT1,1,0.025802720065711875,0.11273708821382991,-0.006358232316836105
EZH2,AKT1,1,0.12677551129187206,-0.13931658877589204,0.21640462583297793
MYC,AKT1,1,-0.40813874711328135,-0.5362933041000884,-0.3660633522211114
NCOA3,AKT1,1,0.10318802544912983,0.330760729637933,0.028781962747015586
TP53,AKT1,-1,0.026119225183771744,-0.18588469830181237,0.11830289239737793
HIF1A,AKT1,1,-0.10191643164275176,-0.08919846253234033,-0.09107763112649363
ESR1,AKT2,1,0.09852327653440812,-0.10421882214732427,0.11464537123246818
TP53,AKT2,1,0.07507284319570343,0.05605097808867767,0.0839264406974108
TWIST1,AKT2,1,-0.08244859533904972,-0.0783943074746853,-0.0821299534687431
AR,ALDH1A3,1,-0.17583225769748315,0.07688783208055477,-0.08742774967566364
DNMT3B,APC,1,-0.016007046917944946,0.054492156600165174,-0.03648061212546266
EZH2,APC,-1,-0.016951091282779926,-0.08945608021976431,0.0063033257857949485
MYC,APC,1,0.018628919642890727,0.05618834921163426,0.01147231611562994
TP53,APC,1,0.06897379584963412,0.16191595023228494,0.03922542550903815
HIF1A,APC,-1,0.042280889289608645,0.10066183145442725,0.02588257922950898
ARID1A,AR,1,0.05097035494483962,0.004189826269219807,0.0007912758115268211
E2F1,AR,-1,-0.043486070579799245,-0.11601139133403879,0.002259145951379801
ESR1,AR,1,0.4775875669161448,0.32515011878623407,0.3761483618614367
EZH2,AR,1,-0.1620652123971336,-0.3036741035927905,0.03789221763273011
FOXA1,AR,-1,0.5113406923323334,0.744404691977715,0.35057021346205247
FOXM1,AR,1,-0.18127107887357075,-0.5059615088626362,0.06617892088553035
HOXB13,AR,-1,0.05311191096895667,0.09524532477388416,0.07670893076768819
MYBL2,AR,1,-0.00023090367908670158,0.027047662125671546,0.017446799849318757
MYC,AR,1,-0.33637805869393916,-0.5057935642885338,-0.25471830662124995
NCOA3,AR,1,0.05995119381845236,0.414666887940447,0.030483842200447815
NCOR1,AR,1,0.19102826081654886,-0.06462787817107941,0.20204198711395693
SMAD3,AR,1,0.22570227174762056,0.019131034962232975,0.20538570677674753
SMAD4,AR,-1,-0.19519085670150518,-0.4419128729479344,-0.12195944895971761
TP53,AR,-1,0.050601291675966956,-0.12089726796897006,0.12486063237919602
TWIST1,AR,1,-0.2464575953768376,0.08337359186746202,-0.34388320034579023
ZEB1,AR,-1,-0.05694350663846878,0.1406052224695213,-0.19425157547537375
HIF1A,AR,1,-0.30839674333292094,0.060309064085932354,-0.31666567784929717
E2F4,AR,1,-0.3343945731445207,-0.28210882881491817,-0.23105835597995097
BRCA1,ASPM,1,0.3952356582426509,0.25715683657947924,0.5048865363824678
BRCA1,ATM,1,-0.16721965090509996,-0.16626598339882462,-0.16563863071919005
E2F1,ATM,1,-0.012996530712425153,0.0018488563591057539,-0.01064355531328632
MYC,ATM,1,0.1550548826823255,0.15267229762626472,0.1434288471575428
RBBP8,ATM,1,0.05943624678047313,0.03472245416990634,0.0772184660091653
TWIST1,ATM,1,0.10806002236127848,0.08760152322797012,0.10987294988939808
E2F1,AURKA,1,0.08912306279020238,0.08888373281774534,0.08639408070322863
