gene,null,rho_pred
RASSF1,real,-0.2539481010857206
SCGB3A1,real,-0.3396834849707531
CDKN2A,real,-0.19553380474757287
PYCARD,real,-0.3634887317128501
APC,real,-0.09124551695055734
GSTP1,real,-0.34008796223148097
SFRP1,real,-0.1494729538535963
SFRP2,real,-0.0943964608272921
SFRP4,real,-0.13188304804275813
WIF1,real,-0.21568513837689435
CDH1,real,-0.38307768120091074
RARRES1,real,-0.21860159024089645
ID4,real,-0.2692693906580043
CCND2,real,-0.1851955518754829
TWIST1,real,-0.1476205527955854
CCND1,real,-0.2121921369364598
MDM2,real,-0.192827510541033
AURKA,real,-0.0761213593454058
PPM1D,real,-0.12721610633751307
FGF3,real,-0.45676667066778043
FGF19,real,-0.4254859511605484
KRT19,real,-0.29588738701391465
MAL2,real,-0.24488491518990282
CA12,real,-0.2804809864027234
PITX2,real,-0.22219878239696003
PIP,real,-0.43250395579203593
ARID1B,real,-0.15273807973917275
RSAD1,real,-0.3401838934771146
COL1A1,real,-0.06798871094036295
BIRC5,real,-0.08271129246017218
ERBB2,real,-0.3514087665405581
CHEK2,real,-0.08209209855068066
ZNF83,real,-0.25032500557245096
ACTR3B,real,-0.34391052841857145
STC2,real,-0.35344589555632794
GIT1,real,-0.25818970962263194
NDRG1,real,-0.39668277698274496
LAMB3,real,-0.17936307740668053
AKT2,real,-0.3990476797107872
ALDH3B2,real,-0.5904488920666553
TGFB1,real,-0.19814598834796082
STC1,real,-0.3698989991249628
FSCN1,real,-0.18745080198157268
KCTD3,real,-0.15723232744340104
F12,real,-0.23001428486815406
SMAD4,real,-0.15947336770647325
PPP1R2,real,-0.2121838182575265
S100A4,real,-0.17928470123775925
LMO1,real,-0.38072959345377266
PRRX1,real,-0.06613764205660473
ETV3,real,-0.11850807770561625
IL17RB,real,-0.3178441552113455
SND1,real,-0.35405055398056606
MIA,real,-0.42523243867996025
CCNB2,real,-0.044343206516855395
RGS2,real,-0.20044232858344316
ERBB3,real,-0.2592040851872106
GABRP,real,-0.20451455875397978
SERPINB9,real,-0.17746228887075322
RPRD2,real,-0.15332166022960148
CAPN8,real,-0.3174036056689154
FMOD,real,-0.34652952090207195
CHAD,real,-0.47744874193850373
NME3,real,-0.11320804309077169
ANLN,real,-0.10546841526156078
ESR1,real,-0.2819271635719991
MDFIC,real,-0.16271920669520715
BNIPL,real,-0.43292952579274996
RAB25,real,-0.31042376038556657
SQLE,real,-0.16221622265494381
ISM1,real,-0.1985459658250664
RASSF1,permute_readout_gene,0.0010085584101131781
SCGB3A1,permute_readout_gene,0.006721374162679105
CDKN2A,permute_readout_gene,0.001092470493506924
PYCARD,permute_readout_gene,0.0023921678643322344
APC,permute_readout_gene,-0.0011061178635609929
GSTP1,permute_readout_gene,-0.002019455523556381
SFRP1,permute_readout_gene,0.0002090031077170702
SFRP2,permute_readout_gene,0.0022295391714017886
SFRP4,permute_readout_gene,0.0017484175698931166
WIF1,permute_readout_gene,0.0027954313676356243
CDH1,permute_readout_gene,-0.0016324297262608881
RARRES1,permute_readout_gene,0.0025306250222348887
ID4,permute_readout_gene,-0.0007622692663749066
CCND2,permute_readout_gene,-0.00013595563345610243
TWIST1,permute_readout_gene,0.00283763164104181
CCND1,permute_readout_gene,0.0018561755461109092
MDM2,permute_readout_gene,-0.0012251401007651761
AURKA,permute_readout_gene,0.0024477638751385596
PPM1D,permute_readout_gene,0.0001824188597419142
FGF3,permute_readout_gene,0.00032046156388630095
FGF19,permute_readout_gene,0.0004977441574554552
KRT19,permute_readout_gene,0.0006579601374868409
MAL2,permute_readout_gene,-0.000615641448749245
CA12,permute_readout_gene,0.004535382239424831
PITX2,permute_readout_gene,0.0013467378720186888
PIP,permute_readout_gene,0.0005114063294351823
ARID1B,permute_readout_gene,0.0008186645808590216
RSAD1,permute_readout_gene,0.0023886154035778363
COL1A1,permute_readout_gene,-0.00025761261237308
BIRC5,permute_readout_gene,9.3030066006707e-05
ERBB2,permute_readout_gene,-0.0007053114789529974
CHEK2,permute_readout_gene,0.000661586607827349
ZNF83,permute_readout_gene,0.0017877758746506897
ACTR3B,permute_readout_gene,-0.00015707797302362246
STC2,permute_readout_gene,-0.0003309709269579034
GIT1,permute_readout_gene,-0.0017100213899224376
NDRG1,permute_readout_gene,0.0009367098913540696
LAMB3,permute_readout_gene,0.0026346825184991236
AKT2,permute_readout_gene,0.0013859777614221177
ALDH3B2,permute_readout_gene,1.3706577744051487e-05
TGFB1,permute_readout_gene,-0.0012123660439571071
STC1,permute_readout_gene,0.0008161926602507289
FSCN1,permute_readout_gene,0.0022097194007542876
KCTD3,permute_readout_gene,0.00035468360249397496
F12,permute_readout_gene,-0.00042599925213572434
SMAD4,permute_readout_gene,0.0020251986684228563
PPP1R2,permute_readout_gene,0.00267042915486651
S100A4,permute_readout_gene,0.0007880986164510899
LMO1,permute_readout_gene,0.0009102440587243352
PRRX1,permute_readout_gene,0.0010326411336648148
ETV3,permute_readout_gene,0.00040413681658012685
IL17RB,permute_readout_gene,0.0007413097479458277
SND1,permute_readout_gene,0.0015312734062784164
MIA,permute_readout_gene,0.0032945965094203404
CCNB2,permute_readout_gene,0.001869408462421171
RGS2,permute_readout_gene,0.0014311976264702304
ERBB3,permute_readout_gene,0.0029293591380764204
GABRP,permute_readout_gene,-0.0012887291482695218
SERPINB9,permute_readout_gene,0.0004549370053645409
RPRD2,permute_readout_gene,-0.0006428325754470539
CAPN8,permute_readout_gene,-0.00016353161006077841
FMOD,permute_readout_gene,-0.000544814262457046
CHAD,permute_readout_gene,0.00045539586487417714
NME3,permute_readout_gene,0.0009326689672275207
ANLN,permute_readout_gene,0.0027125110128600554
ESR1,permute_readout_gene,-0.0023310063316773527
MDFIC,permute_readout_gene,0.0015291567317455665
BNIPL,permute_readout_gene,0.0016277967253603154
RAB25,permute_readout_gene,0.002510257580576341
SQLE,permute_readout_gene,-0.0010583076625747226
ISM1,permute_readout_gene,0.002367951923569658
RASSF1,permute_graph,-0.22700188695994358
SCGB3A1,permute_graph,-0.3572291774482427
CDKN2A,permute_graph,-0.24366867104295553
PYCARD,permute_graph,-0.3505129839574971
APC,permute_graph,-0.09151254358303235
GSTP1,permute_graph,-0.37722233776247466
SFRP1,permute_graph,-0.16761273618310985
SFRP2,permute_graph,-0.12803913748596701
SFRP4,permute_graph,-0.16313015239169187
WIF1,permute_graph,-0.28102303270616524
CDH1,permute_graph,-0.40256243997938745
RARRES1,permute_graph,-0.21341659614681513
ID4,permute_graph,-0.23668959545871188
CCND2,permute_graph,-0.17017425281533485
TWIST1,permute_graph,-0.17723203020618897
CCND1,permute_graph,-0.21832662977850606
MDM2,permute_graph,-0.20685268480707475
AURKA,permute_graph,-0.1607438460876044
PPM1D,permute_graph,-0.15338205206242622
FGF3,permute_graph,-0.5391078559250236
FGF19,permute_graph,-0.42365137161127464
KRT19,permute_graph,-0.3443624606342101
MAL2,permute_graph,-0.281933173151442
CA12,permute_graph,-0.2845174699349079
PITX2,permute_graph,-0.2585208581751631
PIP,permute_graph,-0.4566912252914903
ARID1B,permute_graph,-0.19738605778491589
RSAD1,permute_graph,-0.3418861882615175
COL1A1,permute_graph,-0.1150730257791513
BIRC5,permute_graph,-0.21950557308753219
ERBB2,permute_graph,-0.4457662687149103
CHEK2,permute_graph,-0.14897285618942616
ZNF83,permute_graph,-0.25509193424095744
ACTR3B,permute_graph,-0.31389646839297575
STC2,permute_graph,-0.40416304557408234
GIT1,permute_graph,-0.2691321176563329
NDRG1,permute_graph,-0.4357678975254973
LAMB3,permute_graph,-0.2661377336845017
AKT2,permute_graph,-0.37535415785941606
ALDH3B2,permute_graph,-0.567697438395785
TGFB1,permute_graph,-0.2650198038889214
STC1,permute_graph,-0.37120668953249625
FSCN1,permute_graph,-0.2309662851426534
KCTD3,permute_graph,-0.13581002697093014
F12,permute_graph,-0.23918946208925418
SMAD4,permute_graph,-0.17471904907408561
PPP1R2,permute_graph,-0.20191452752774483
S100A4,permute_graph,-0.20862417856993443
LMO1,permute_graph,-0.37460266439802975
PRRX1,permute_graph,-0.09478080747707832
ETV3,permute_graph,-0.12879615206955033
IL17RB,permute_graph,-0.29526091056277987
SND1,permute_graph,-0.3734512822563229
MIA,permute_graph,-0.42369666548589324
CCNB2,permute_graph,-0.1095784051264846
RGS2,permute_graph,-0.20964752409791795
ERBB3,permute_graph,-0.26052098238886584
GABRP,permute_graph,-0.20390041229713243
SERPINB9,permute_graph,-0.17992269358540947
RPRD2,permute_graph,-0.14688519341942505
CAPN8,permute_graph,-0.3171872608089725
FMOD,permute_graph,-0.41429253217731976
CHAD,permute_graph,-0.45320417421175146
NME3,permute_graph,-0.12809838956970737
ANLN,permute_graph,-0.21913481460013157
ESR1,permute_graph,-0.2998990625284976
MDFIC,permute_graph,-0.1698800054480854
BNIPL,permute_graph,-0.4789950096895499
RAB25,permute_graph,-0.3905152462574363
SQLE,permute_graph,-0.1573450292608343
ISM1,permute_graph,-0.19888204341630786
RASSF1,shuffle_methy_patients,-0.23156801278676917
SCGB3A1,shuffle_methy_patients,-0.30923774175581886
CDKN2A,shuffle_methy_patients,-0.18152485338564286
PYCARD,shuffle_methy_patients,-0.3349529690225178
