gene,null,rho_pred
RASSF1,real,-0.23041026628018893
SCGB3A1,real,-0.33842931196403936
CDKN2A,real,-0.22400434802630487
PYCARD,real,-0.3919352522636921
APC,real,-0.09859989731677474
GSTP1,real,-0.3491243897316926
SFRP1,real,-0.12886754004385212
SFRP2,real,-0.11053976263562991
SFRP4,real,-0.16338183591443223
WIF1,real,-0.18926305627353984
CDH1,real,-0.44276166704899633
RARRES1,real,-0.22191518891555836
ID4,real,-0.22187342049250355
CCND2,real,-0.20028918200201287
TWIST1,real,-0.17280068910909893
CCND1,real,-0.32762058866369265
MDM2,real,-0.2782962136007527
AURKA,real,-0.07405320020221653
PPM1D,real,-0.1419397281356087
FGF3,real,-0.4987059681871261
FGF19,real,-0.462496878014031
KRT19,real,-0.3324078698305011
MAL2,real,-0.2586889646043241
CA12,real,-0.48671843077038723
PITX2,real,-0.24658261594886036
PIP,real,-0.7293398357426792
ARID1B,real,-0.15728010395000408
RSAD1,real,-0.45110856244632275
COL1A1,real,-0.07221597995420721
BIRC5,real,-0.0925146956008546
ERBB2,real,-0.39517518308665966
CHEK2,real,-0.08057010733997778
ZNF83,real,-0.38968300443395054
ACTR3B,real,-0.43613805118378407
STC2,real,-0.5810821539473232
GIT1,real,-0.2285334914831383
NDRG1,real,-0.41978977232683923
LAMB3,real,-0.14737818344559006
AKT2,real,-0.44836940992521057
ALDH3B2,real,-0.7475201691416018
TGFB1,real,-0.21376045778260439
STC1,real,-0.5078197495427315
FSCN1,real,-0.1629315339400848
KCTD3,real,-0.19764463569707788
F12,real,-0.23674652129844795
SMAD4,real,-0.18138476420907246
PPP1R2,real,-0.24579691208837173
S100A4,real,-0.1560561268037363
LMO1,real,-0.4668230829690008
PRRX1,real,-0.058447602281003
ETV3,real,-0.09197864290638402
IL17RB,real,-0.3685070043115506
SND1,real,-0.3358302238721817
MIA,real,-0.4306674209048064
CCNB2,real,-0.02643970697691507
RGS2,real,-0.15535787093987605
ERBB3,real,-0.3567147305828031
GABRP,real,-0.17988464317751984
SERPINB9,real,-0.1573450442544003
RPRD2,real,-0.1543234014091645
CAPN8,real,-0.5559946812178584
FMOD,real,-0.4716403252307921
CHAD,real,-0.7695057091949411
NME3,real,-0.1180977809261432
ANLN,real,-0.09637967686418558
ESR1,real,-0.48258468521236625
MDFIC,real,-0.14074814736114502
BNIPL,real,-0.5517214615969864
RAB25,real,-0.27483932315454557
SQLE,real,-0.16107453641755481
ISM1,real,-0.18438028334094883
RASSF1,permute_readout_gene,0.0019992758260169094
SCGB3A1,permute_readout_gene,0.01197395898945603
CDKN2A,permute_readout_gene,0.002001194516609773
PYCARD,permute_readout_gene,0.0036351811301791217
APC,permute_readout_gene,-0.002059935973768169
GSTP1,permute_readout_gene,-0.0026822559592586965
SFRP1,permute_readout_gene,0.000941339230543339
SFRP2,permute_readout_gene,0.0040863686541319265
SFRP4,permute_readout_gene,0.0031213409719857235
WIF1,permute_readout_gene,0.006310131304899642
CDH1,permute_readout_gene,-0.0029236420222378498
RARRES1,permute_readout_gene,0.004239421144265737
ID4,permute_readout_gene,-0.0008347780946931836
CCND2,permute_readout_gene,0.0005733195737607178
TWIST1,permute_readout_gene,0.0044056830831623916
CCND1,permute_readout_gene,0.00236995213171907
MDM2,permute_readout_gene,-0.002399175268700566
AURKA,permute_readout_gene,0.005102979601134516
PPM1D,permute_readout_gene,-0.0003504562563765799
FGF3,permute_readout_gene,0.0007602443362384352
FGF19,permute_readout_gene,0.000900825336194759
KRT19,permute_readout_gene,0.0016913997465047824
MAL2,permute_readout_gene,-0.0017415808910070777
CA12,permute_readout_gene,0.009169128205943075
PITX2,permute_readout_gene,0.002417993197552763
PIP,permute_readout_gene,0.0025372472110803605
ARID1B,permute_readout_gene,0.0015970887133442257
RSAD1,permute_readout_gene,0.0038869724013153614
COL1A1,permute_readout_gene,0.00042299752818081055
BIRC5,permute_readout_gene,0.0015327387753516111
ERBB2,permute_readout_gene,-0.0030598690702039397
CHEK2,permute_readout_gene,0.0008057025493157867
ZNF83,permute_readout_gene,0.003939367419635036
ACTR3B,permute_readout_gene,0.0008787603917615304
STC2,permute_readout_gene,-0.001250248451228069
GIT1,permute_readout_gene,-0.004447082527219511
NDRG1,permute_readout_gene,0.0019688719562280803
LAMB3,permute_readout_gene,0.004436013156665193
AKT2,permute_readout_gene,0.00156912010514534
ALDH3B2,permute_readout_gene,-0.0014239637654879483
TGFB1,permute_readout_gene,-0.0038100771772462054
STC1,permute_readout_gene,0.0012041998717471157
FSCN1,permute_readout_gene,0.002743137494336547
KCTD3,permute_readout_gene,0.0009155844962864238
F12,permute_readout_gene,-0.0007636389430591465
SMAD4,permute_readout_gene,0.004277942552100765
PPP1R2,permute_readout_gene,0.005079733924548722
S100A4,permute_readout_gene,0.001982450383295411
LMO1,permute_readout_gene,0.0009888637260332977
PRRX1,permute_readout_gene,0.0025612308467874
ETV3,permute_readout_gene,0.0003077284879112104
IL17RB,permute_readout_gene,0.0012201397646443687
SND1,permute_readout_gene,0.0029702809681224043
MIA,permute_readout_gene,0.002960170943784744
CCNB2,permute_readout_gene,0.0036607882733360707
RGS2,permute_readout_gene,0.002745129981549673
ERBB3,permute_readout_gene,0.005662646951749183
GABRP,permute_readout_gene,-0.0015554678818902868
SERPINB9,permute_readout_gene,0.00016537638882710372
RPRD2,permute_readout_gene,-0.000804448020796188
CAPN8,permute_readout_gene,-0.001974775620048585
FMOD,permute_readout_gene,2.25815149377753e-05
CHAD,permute_readout_gene,0.00044794050873299374
NME3,permute_readout_gene,0.0013114989656017734
ANLN,permute_readout_gene,0.0060580448505616015
ESR1,permute_readout_gene,-0.005588408376496235
MDFIC,permute_readout_gene,0.003080089119192371
BNIPL,permute_readout_gene,0.002480424444733671
RAB25,permute_readout_gene,0.0027329536738744135
SQLE,permute_readout_gene,-0.000970119592718935
ISM1,permute_readout_gene,0.004037589630476271
RASSF1,permute_graph,-0.2076371774444448
SCGB3A1,permute_graph,-0.33882057729802656
CDKN2A,permute_graph,-0.2724687068307977
PYCARD,permute_graph,-0.35383920342245884
APC,permute_graph,-0.09856801752018737
GSTP1,permute_graph,-0.35794948191593656
SFRP1,permute_graph,-0.13523449411509844
SFRP2,permute_graph,-0.14893224922357404
SFRP4,permute_graph,-0.19343989857902377
WIF1,permute_graph,-0.2202559641382351
CDH1,permute_graph,-0.4745797595543263
