layer,distance,head,bias
0,0,0,-0.797413170337677
0,0,1,0.428541362285614
0,0,2,0.9585900902748108
0,0,3,0.8585329055786133
0,0,4,-0.8831745982170105
0,0,5,-0.9703840017318726
0,0,6,0.2157110720872879
0,0,7,-0.07049243897199631
0,1,0,-0.23249201476573944
0,1,1,0.9015940427780151
0,1,2,0.7436087131500244
0,1,3,0.9233292937278748
0,1,4,0.11796310544013977
0,1,5,-0.5222350358963013
0,1,6,-0.19213928282260895
0,1,7,0.33628883957862854
0,2,0,0.9213990569114685
0,2,1,-0.8143317699432373
0,2,2,0.13136941194534302
0,2,3,-0.6399875283241272
0,2,4,0.844593346118927
0,2,5,0.9209450483322144
0,2,6,0.0833248496055603
0,2,7,-0.3779463768005371
0,3,0,0.05846147984266281
0,3,1,0.7106343507766724
0,3,2,0.1439211666584015
0,3,3,0.3893163204193115
0,3,4,-0.7695697546005249
0,3,5,-0.7577306628227234
0,3,6,-0.9455858469009399
0,3,7,-0.708099365234375
0,4,0,0.07122452557086945
0,4,1,-0.5835328102111816
0,4,2,-0.36083322763442993
0,4,3,0.1246730238199234
0,4,4,-0.0034342322032898664
0,4,5,-0.839081883430481
0,4,6,-0.7803153991699219
0,4,7,0.14188966155052185
0,5,0,0.881761372089386
0,5,1,-0.6592216491699219
0,5,2,-0.8426672220230103
0,5,3,0.8475486636161804
0,5,4,-0.6755307912826538
0,5,5,-0.1294596642255783
0,5,6,-0.8525605797767639
0,5,7,0.8977294564247131
