layer,distance,head,bias
0,0,0,-0.7974286675453186
0,0,1,0.4285717308521271
0,0,2,0.9585884809494019
0,0,3,0.8585414886474609
0,0,4,-0.8831854462623596
0,0,5,-0.9703836441040039
0,0,6,0.21588529646396637
0,0,7,-0.07064893841743469
0,1,0,-0.23249201476573944
0,1,1,0.9015940427780151
0,1,2,0.7436087131500244
0,1,3,0.9233292937278748
0,1,4,0.11796310544013977
0,1,5,-0.5222350358963013
0,1,6,-0.19213928282260895
0,1,7,0.33628883957862854
0,2,0,0.9213990569114685
0,2,1,-0.8143317699432373
0,2,2,0.13136941194534302
0,2,3,-0.6399875283241272
0,2,4,0.844593346118927
0,2,5,0.9209450483322144
0,2,6,0.0833248496055603
0,2,7,-0.3779463768005371
0,3,0,0.05846147984266281
0,3,1,0.7106343507766724
0,3,2,0.1439211666584015
0,3,3,0.3893163204193115
0,3,4,-0.7695697546005249
0,3,5,-0.7577306628227234
0,3,6,-0.9455858469009399
0,3,7,-0.708099365234375
0,4,0,0.07122452557086945
0,4,1,-0.5835328102111816
0,4,2,-0.36083322763442993
0,4,3,0.1246730238199234
0,4,4,-0.0034342322032898664
0,4,5,-0.839081883430481
0,4,6,-0.7803153991699219
0,4,7,0.14188966155052185
0,5,0,0.881761372089386
0,5,1,-0.6592216491699219
0,5,2,-0.8426672220230103
0,5,3,0.8475486636161804
0,5,4,-0.6755307912826538
0,5,5,-0.1294596642255783
0,5,6,-0.8525605797767639
0,5,7,0.8977294564247131
0,6,0,-0.6377366781234741
0,6,1,0.40683138370513916
0,6,2,0.30278995633125305
0,6,3,-0.1634889394044876
0,6,4,0.797763466835022
0,6,5,-0.47491198778152466
0,6,6,0.08154148608446121
0,6,7,-0.4907957911491394
0,7,0,0.7983052134513855
0,7,1,-0.013276194222271442
0,7,2,0.5014403462409973
0,7,3,-0.02987840212881565
0,7,4,-0.9048511385917664
0,7,5,0.8104324340820312
0,7,6,-0.43284720182418823
0,7,7,0.6734932661056519
0,8,0,-0.760439932346344
0,8,1,0.14856615662574768
0,8,2,0.49859753251075745
0,8,3,-0.005406752694398165
0,8,4,-0.9424476623535156
0,8,5,-0.43103867769241333
0,8,6,-0.9176135063171387
0,8,7,0.602546215057373
0,9,0,0.6487311124801636
0,9,1,-0.9098151326179504
0,9,2,0.03998209536075592
0,9,3,-0.14617019891738892
0,9,4,-0.8029330372810364
0,9,5,0.9577186107635498
0,9,6,-0.9451439380645752
0,9,7,0.21574510633945465
0,10,0,-0.8036277294158936
0,10,1,0.7894425392150879
0,10,2,-0.38360142707824707
0,10,3,0.6538119316101074
0,10,4,0.402291476726532
0,10,5,-0.47522684931755066
0,10,6,0.16950182616710663
0,10,7,-0.7635965347290039
0,11,0,0.5318970084190369
0,11,1,-0.21244093775749207
0,11,2,0.07417445629835129
0,11,3,-0.6084049940109253
0,11,4,-0.9026011824607849
0,11,5,0.43211111426353455
0,11,6,-0.2618021070957184
0,11,7,0.8834142684936523
