PC,evr,abs_pb_cluster,abs_rho_age
1,0.1816149601065355,0.7885235885562938,0.15299765881637656
2,0.13827344864231514,0.2917987436311074,0.06761777356370173
3,0.11080183541911548,0.09794455887454734,0.19556394742280717
4,0.09109020266886629,0.03512678792963103,0.07863532774292145
5,0.08296466724185751,0.029157675611246586,0.15750656684179407
6,0.0669670227263081,0.009123895857040425,0.055830780414002266
7,0.05631226477157587,0.024503421270685825,0.07353281529804367
8,0.05171933330963434,0.06289046599113268,0.04397291074466345
9,0.0394493998738712,0.02911912761423322,0.021992018039455028
10,0.0325428717231509,0.056314353706113526,0.16071332233105054
