layer,head,b_grn_act,b_grn_repr
0,0,-0.07656621187925339,-0.04724197834730148
0,1,-0.037699948996305466,-0.05244102701544762
0,2,0.006351173855364323,0.04099510610103607
0,3,0.1584048867225647,-0.05681738257408142
0,4,-0.15448269248008728,0.07080412656068802
0,5,-0.015549815259873867,0.01464524120092392
0,6,0.06693338602781296,-0.14374879002571106
0,7,-0.02280651219189167,-0.0256687942892313
1,0,0.12615787982940674,-0.09262099117040634
1,1,-0.015328532084822655,0.1641094982624054
1,2,0.009585912339389324,0.0018309946171939373
1,3,-0.14324785768985748,0.23704023659229279
1,4,-0.015371902845799923,0.010230716317892075
1,5,0.003655826672911644,0.003631406230852008
1,6,-0.0012680008076131344,0.021667849272489548
1,7,0.03287087380886078,0.04994070902466774
2,0,-0.1164429783821106,-0.0010161672253161669
2,1,0.017028439790010452,0.09235605597496033
2,2,-0.08315756916999817,0.10893625766038895
2,3,-0.006984625943005085,0.05086227133870125
2,4,0.012344096787273884,0.009423448704183102
2,5,0.05821915715932846,-0.013858103193342686
2,6,0.10782933235168457,0.02561030350625515
2,7,-0.002810737583786249,0.003457406535744667
