PC,evr,abs_pb_cluster,abs_rho_age
1,0.1367638303771149,0.7507389661987527,0.22152163155690655
2,0.11336764436816103,0.12566253495300694,0.10901009519246146
3,0.10783846342136195,0.44169785768637987,0.06490031570160322
4,0.07914636694035389,0.052496202908954376,0.14221910937872778
5,0.07668458981948123,0.04506893167289389,0.07389056263147593
6,0.06407493554612685,0.08883425354243961,0.011386969546130119
7,0.0511327833542103,0.12372141471205561,0.05139258609845462
8,0.045326992389785256,0.1528956599632912,0.07165941755076188
9,0.04051255095016972,0.08039696960318679,0.007641367989875939
10,0.03777644903628386,0.07515001727242498,0.059135004685243624
