layer,distance,head,bias
0,0,0,-0.0053016915917396545
0,0,1,-0.06262949109077454
0,0,2,0.0004455888119991869
0,0,3,-1.9142475139233284e-05
0,0,4,-8.267545490525663e-05
0,0,5,-0.001166012603789568
0,0,6,-1.177761435508728
0,0,7,-1.2262174095667433e-05
0,1,0,0.016633789986371994
0,1,1,-0.00916972104460001
0,1,2,-0.0005281217745505273
0,1,3,-1.8010643543675542e-05
0,1,4,-0.0002754524757619947
0,1,5,-0.0038908543065190315
0,1,6,1.2107977867126465
0,1,7,3.816679600276984e-05
0,2,0,-0.005821653176099062
0,2,1,0.13218367099761963
0,2,2,-0.0003758855746127665
0,2,3,-1.71873234648956e-05
0,2,4,-3.0898907425580546e-05
0,2,5,-0.0022591445595026016
0,2,6,0.3025502562522888
0,2,7,-5.750965283368714e-05
0,3,0,0.0018101506866514683
0,3,1,0.07091089338064194
0,3,2,-0.0006995478761382401
0,3,3,-3.193919610566809e-06
0,3,4,0.0002887975424528122
0,3,5,-0.003392391372472048
0,3,6,0.1660689413547516
0,3,7,-1.2950342807016568e-06
0,4,0,0.02494395710527897
0,4,1,0.05860688164830208
0,4,2,0.0004032186698168516
0,4,3,-1.0204367754340637e-05
0,4,4,0.00034912023693323135
0,4,5,0.0037181403022259474
0,4,6,0.058286987245082855
0,4,7,0.00010128002759302035
0,5,0,-0.023369459435343742
0,5,1,0.22806592285633087
0,5,2,0.0005816157790832222
0,5,3,6.942237178009236e-06
0,5,4,-0.00016875685832928866
0,5,5,-0.0044019268825650215
0,5,6,0.2475835084915161
0,5,7,-7.585139974253252e-05
0,6,0,0.04169389605522156
0,6,1,-0.128154918551445
0,6,2,-0.0004935101023875177
0,6,3,-1.7507443772046827e-05
0,6,4,5.143669113749638e-05
0,6,5,-0.0011627491330727935
0,6,6,-0.6228890419006348
0,6,7,8.873406477505341e-05
1,0,0,0.44768980145454407
1,0,1,-0.073323555290699
1,0,2,1.04855180325103e-05
1,0,3,-4.198162078857422
1,0,4,-3.5049629332206678e-06
1,0,5,-0.20160168409347534
1,0,6,0.2689816355705261
1,0,7,0.0001024836310534738
1,1,0,-0.24472379684448242
1,1,1,-0.1239389106631279
1,1,2,-8.091289782896638e-05
1,1,3,12.04918098449707
1,1,4,1.0023718459706288e-06
1,1,5,0.10321788489818573
1,1,6,1.1053073406219482
1,1,7,-4.872100180364214e-05
1,2,0,-0.4350973963737488
1,2,1,0.13512711226940155
1,2,2,4.518364221439697e-06
1,2,3,-12.695615768432617
1,2,4,-8.093102223938331e-07
1,2,5,-0.200875923037529
1,2,6,-0.7643564343452454
1,2,7,9.273772593587637e-05
1,3,0,0.4417799711227417
1,3,1,0.08272118866443634
1,3,2,-7.599804666824639e-05
1,3,3,10.340716361999512
1,3,4,1.039992298501602e-06
1,3,5,-0.16535794734954834
1,3,6,-0.4035278558731079
1,3,7,0.00010000851034419611
1,4,0,0.4100736975669861
1,4,1,0.1079210415482521
1,4,2,-4.998705844627693e-05
1,4,3,-9.589469909667969
1,4,4,-1.7470521243012627e-06
1,4,5,0.21320506930351257
1,4,6,0.15644106268882751
1,4,7,2.125214450643398e-06
1,5,0,0.17666615545749664
1,5,1,-0.14442260563373566
1,5,2,-6.164954538689926e-05
1,5,3,-13.268661499023438
1,5,4,2.86513204628136e-06
1,5,5,0.21323826909065247
1,5,6,-0.017415840178728104
1,5,7,0.00010893661965383217
1,6,0,-0.3885752856731415
1,6,1,0.06766252964735031
1,6,2,4.173915658611804e-05
1,6,3,13.091891288757324
1,6,4,8.166610996340751e-07
1,6,5,-0.09920912235975266
1,6,6,-0.8483704924583435
1,6,7,-7.120878581190482e-05
2,0,0,-0.35543325543403625
2,0,1,-1.826462607823487e-06
2,0,2,-0.0003885691985487938
2,0,3,0.07166175544261932
2,0,4,4.605657068168512e-06
2,0,5,0.0003349314793013036
2,0,6,-0.19435007870197296
2,0,7,-9.566971778869629
2,1,0,0.43988627195358276
2,1,1,-2.221322120021796e-06
2,1,2,-0.0002799467765726149
2,1,3,0.1570603996515274
2,1,4,-3.0768171654926846e-06
2,1,5,-0.00011058075324399397
2,1,6,-0.195267915725708
2,1,7,-9.664875984191895
2,2,0,0.4120451807975769
2,2,1,3.1397050861414755e-06
2,2,2,-0.0003231238224543631
2,2,3,0.1580677479505539
2,2,4,8.952371899795253e-06
2,2,5,6.395202217390761e-05
2,2,6,-0.1411696821451187
2,2,7,4.1000800132751465
2,3,0,0.19948148727416992
2,3,1,3.3699345749482745e-06
2,3,2,0.00027565466007217765
2,3,3,-0.19547779858112335
2,3,4,4.990517481928691e-06
2,3,5,-0.000326947687426582
2,3,6,0.24981914460659027
2,3,7,4.957589626312256
2,4,0,0.23424962162971497
2,4,1,3.2443931559100747e-06
2,4,2,0.00019621853425633162
2,4,3,0.03702693432569504
2,4,4,1.0529560313443653e-05
2,4,5,-0.00017797517648432404
2,4,6,0.14043477177619934
2,4,7,3.3982949256896973
2,5,0,-0.5000066161155701
2,5,1,-3.358252627094771e-07
2,5,2,-0.0002228643570560962
2,5,3,-0.1894763708114624
2,5,4,-1.6757387300003757e-07
2,5,5,-1.5189587429631501e-05
2,5,6,0.04135190695524216
2,5,7,4.707320690155029
2,6,0,-0.08750320225954056
2,6,1,-2.2661752154817805e-06
2,6,2,-0.0002921874984167516
2,6,3,-0.08321606367826462
2,6,4,2.42662031268992e-06
2,6,5,0.0002703154750633985
2,6,6,0.1320945769548416
2,6,7,6.0330610275268555
