,rna,methy
F1,0.14059843213594392,0.006859539746771004
F2,0.0895627223555221,0.004726639048071468
F3,0.0005371288058463319,0.0893535074350611
F4,0.05855627771510408,0.002168207695732227
F5,0.028319615857518077,0.0031022879451854113
F6,0.030025895319194196,0.00015253202237275332
F7,0.018912481551146887,0.0035696492397188084
F8,0.020147507830525768,0.00031629403652677635
F9,0.019504992673647026,0.00151684099024052
F10,0.01636253663024434,0.000853015207576302
F11,0.015106876569901617,0.0004317605608458175
F12,0.013560687938643401,0.0013441585932135736
F13,0.00721913171937405,0.021850541542872026
F14,0.011381925534760029,0.0004902746964299265
F15,0.009469044402833027,0.0007372953111292047
