PC,evr,abs_pb_cluster,abs_rho_age
1,0.1885949842927815,0.8706098137712356,0.15584057368800724
2,0.1624599700633762,0.27959247055334874,0.286934487523887
3,0.12862361924578258,0.07787602748766725,0.06053927072702441
4,0.12011390172285887,0.20864675837093805,0.04852548582023162
5,0.07622966509404397,0.0102520679225714,0.03280417229998009
6,0.06599427099913269,0.07940711383926845,0.016477922688246566
7,0.05705436714689138,0.01827676985036845,0.05951811178241662
8,0.04090885282729079,0.039293331801525284,0.06381045984773563
9,0.039346725825695116,0.0031981345534688147,0.04954967822636965
10,0.032656635983921614,0.008168608657420175,0.016684836695784352
