layer,distance,head,bias
0,0,0,0.0006927468930371106
0,0,1,-1.6744632720947266
0,0,2,-0.00048054143553599715
0,0,3,4.9333786591887474e-05
0,0,4,0.0461665503680706
0,0,5,-1.3638968467712402
0,0,6,-1.0619502972986083e-05
0,0,7,0.09249206632375717
0,1,0,0.004979121033102274
0,1,1,0.7372711896896362
0,1,2,-0.001346216187812388
0,1,3,-7.037167506496189e-06
0,1,4,0.02877853251993656
0,1,5,1.3645999431610107
0,1,6,1.100265853892779e-05
0,1,7,-0.12466194480657578
0,2,0,-0.0066470252349972725
0,2,1,-1.3902536630630493
0,2,2,0.001804256346076727
0,2,3,4.1321440221508965e-05
0,2,4,0.04399823397397995
0,2,5,-0.4566532075405121
0,2,6,6.262165697989985e-05
0,2,7,0.23984438180923462
0,3,0,0.006553882732987404
0,3,1,-1.6029508113861084
0,3,2,0.002496137050911784
0,3,3,2.603022221592255e-05
0,3,4,-0.01447719894349575
0,3,5,-0.9713358879089355
0,3,6,-2.662312181200832e-05
0,3,7,-0.12905696034431458
0,4,0,0.00686939200386405
0,4,1,-0.7403966188430786
0,4,2,0.0025098943151533604
0,4,3,-2.6279873054591008e-05
0,4,4,-0.04524412006139755
0,4,5,-1.186392068862915
0,4,6,1.2388109098537825e-05
0,4,7,0.19109824299812317
0,5,0,-0.004545284900814295
0,5,1,-2.0649311542510986
0,5,2,0.0003976041334681213
0,5,3,2.78640345641179e-05
0,5,4,0.03166913241147995
0,5,5,-1.133711814880371
0,5,6,-6.301345933934499e-07
0,5,7,-0.11986648291349411
0,6,0,-0.005562248174101114
0,6,1,0.803759753704071
0,6,2,0.0026732501573860645
0,6,3,3.508178997435607e-05
0,6,4,0.0011741274502128363
0,6,5,-0.653378427028656
0,6,6,1.8392376659903675e-05
0,6,7,0.25202351808547974
1,0,0,-0.0005657665897160769
1,0,1,0.2091875523328781
1,0,2,-0.1085592731833458
1,0,3,-0.23689690232276917
1,0,4,0.9832510948181152
1,0,5,-0.0020410981960594654
1,0,6,0.3722517788410187
1,0,7,0.46182960271835327
1,1,0,-0.0002509350306354463
1,1,1,-0.25265082716941833
1,1,2,-0.13140761852264404
1,1,3,0.46199101209640503
1,1,4,-1.343957543373108
1,1,5,0.00027933745877817273
1,1,6,1.0064935684204102
1,1,7,-0.23102891445159912
1,2,0,-9.90380794974044e-05
1,2,1,-0.18101301789283752
1,2,2,0.033653900027275085
1,2,3,0.29572251439094543
1,2,4,-0.7482898831367493
1,2,5,0.0011434935731813312
1,2,6,0.9584830403327942
1,2,7,-0.03820004686713219
1,3,0,-0.00019768347556237131
1,3,1,-0.13583233952522278
1,3,2,0.10530776530504227
1,3,3,-0.60605388879776
1,3,4,-0.301656037569046
1,3,5,-0.00312127941288054
1,3,6,-0.5219807624816895
1,3,7,-0.12155015766620636
1,4,0,-0.00044892713776789606
1,4,1,0.09052935242652893
1,4,2,-0.08061376959085464
1,4,3,0.5071545243263245
1,4,4,0.3566695749759674
1,4,5,-0.0005024514393880963
1,4,6,-0.8777229189872742
1,4,7,-0.10724854469299316
1,5,0,0.00028923741774633527
1,5,1,-0.2769990861415863
1,5,2,-0.11544936150312424
1,5,3,0.06902427971363068
1,5,4,-0.846562922000885
1,5,5,-0.0008669456001371145
1,5,6,0.6268366575241089
1,5,7,0.4201316237449646
1,6,0,0.00026904340484179556
1,6,1,0.11843092739582062
1,6,2,-0.048455629497766495
1,6,3,0.6105172038078308
1,6,4,1.5176570415496826
1,6,5,-0.002756168134510517
1,6,6,-0.3575476408004761
1,6,7,-0.19605042040348053
2,0,0,-7.111583545338362e-05
2,0,1,0.00013489156845025718
2,0,2,-0.36655083298683167
2,0,3,-3.595244197640568e-05
2,0,4,0.045098647475242615
2,0,5,0.07040730118751526
2,0,6,0.3426550626754761
2,0,7,0.7276309132575989
2,1,0,4.962083767168224e-05
2,1,1,0.0004988934379070997
2,1,2,-0.29140782356262207
2,1,3,4.156504473940004e-06
2,1,4,0.12867632508277893
2,1,5,-0.11889312416315079
2,1,6,0.1994253396987915
2,1,7,1.3000439405441284
2,2,0,7.929279672680423e-05
2,2,1,-8.708365203347057e-05
2,2,2,0.12563851475715637
2,2,3,9.244314242096152e-06
2,2,4,-0.12549540400505066
2,2,5,0.12925779819488525
2,2,6,0.3143840432167053
2,2,7,-1.2762048244476318
2,3,0,0.00012144316133344546
2,3,1,0.0006268823053687811
2,3,2,-0.4845704436302185
2,3,3,-1.3475382729666308e-05
2,3,4,-0.13712362945079803
2,3,5,-0.1040928065776825
2,3,6,0.2798753082752228
2,3,7,-0.9658434987068176
2,4,0,4.067542249686085e-05
2,4,1,-0.0005860759993083775
2,4,2,-0.2854653000831604
2,4,3,3.611473584896885e-05
2,4,4,0.13369892537593842
2,4,5,-0.016924556344747543
2,4,6,0.14236842095851898
2,4,7,-1.1143414974212646
2,5,0,-0.00010121124796569347
2,5,1,0.0007882894715294242
2,5,2,-0.34401261806488037
2,5,3,1.8523389371694066e-05
2,5,4,-0.08316062390804291
2,5,5,0.11728684604167938
2,5,6,0.13699154555797577
2,5,7,-0.7649227976799011
2,6,0,-0.00012706576671916991
2,6,1,-0.0006913294782862067
2,6,2,0.5038143992424011
2,6,3,-4.858963438891806e-05
2,6,4,-0.029011240229010582
2,6,5,0.01635591685771942
2,6,6,0.13001160323619843
2,6,7,-0.8376465439796448
