layer,head,b_grn_act,b_grn_repr
0,0,0.013445292599499226,-0.00412235502153635
0,1,0.0464739054441452,-0.1864519864320755
0,2,0.049870509654283524,0.018793169409036636
0,3,0.0043633789755403996,-0.0005814881878904998
0,4,-0.0548999197781086,-0.07713423669338226
0,5,-0.14187009632587433,-0.20725107192993164
0,6,0.006750042550265789,0.005461401771754026
0,7,-0.12515242397785187,0.11738641560077667
1,0,0.009066533297300339,0.004629045259207487
1,1,0.08049584180116653,0.004575282335281372
1,2,-0.016060328111052513,0.01575409434735775
1,3,0.11355219781398773,-0.011566543951630592
1,4,-0.03783215954899788,0.07888404279947281
1,5,0.009158517234027386,-0.05663350597023964
1,6,0.04918248951435089,-0.12899000942707062
1,7,-0.081534743309021,-0.02519937790930271
2,0,0.001861749216914177,0.0007367326761595905
2,1,0.007757337763905525,-0.0020565015729516745
2,2,0.0849299356341362,-0.06796075403690338
2,3,0.0036222820635885,-0.0028342129662632942
2,4,-0.028146885335445404,-0.05775168538093567
2,5,-0.054848115891218185,0.027122672647237778
2,6,0.007646325975656509,-0.02466416172683239
2,7,-0.06476074457168579,-0.15112167596817017
