,rna,cnv,methy
F1,0.00044696735014138067,0.4282609831088412,0.0024898852973465058
F2,0.1294670221224572,0.018046540598412597,0.11972652269317463
F3,0.09391242250569543,0.0,0.06956276375114534
F4,0.12926168182660436,6.0377219998741793e-05,0.004134580829383339
F5,0.045996605367824794,0.003156443100670314,0.06973711332224697
F6,0.010657030293134029,0.04795847078767823,0.009649610849790213
F7,0.05743211510660462,0.0002771944915742619,0.002266212377365351
F8,0.04232729629864751,0.00047706091006449736,0.007810401786002008
F9,0.015803178880920754,0.002050164528656806,0.04714791793029516
F10,0.013693540245578895,0.04559045722492472,0.006987122470179408
F11,0.0007672569765870829,0.00012134028970067767,0.05214302839653251
F12,0.01669241418308054,0.013355055940428961,0.017717735042802052
F13,0.0033351984182220518,0.02006547310309581,0.002517085710991518
F14,0.0024187330216731695,0.015931480460098624,0.0018055566827201996
F15,0.0014093961329929572,0.008500202461665718,0.0009764020383247196
