layer,distance,head,bias
0,0,0,0.09286756813526154
0,0,1,-0.7349991798400879
0,0,2,-0.17646923661231995
0,0,3,0.9516977667808533
0,0,4,0.8339281678199768
0,0,5,-0.9061729907989502
0,0,6,-0.13460791110992432
0,0,7,0.35173240303993225
0,1,0,0.6385340094566345
0,1,1,0.18132048845291138
0,1,2,-0.3620929419994354
0,1,3,-0.14052709937095642
0,1,4,0.4614904224872589
0,1,5,0.9537088871002197
0,1,6,0.14299578964710236
0,1,7,-0.32394951581954956
0,2,0,-0.8373394012451172
0,2,1,-0.715767502784729
0,2,2,0.5771275758743286
0,2,3,0.800270676612854
0,2,4,0.7908257842063904
0,2,5,-0.4198128283023834
0,2,6,0.8165364265441895
0,2,7,0.9349833726882935
0,3,0,0.8516499400138855
0,3,1,-0.7815055251121521
0,3,2,0.7032865285873413
0,3,3,0.5018399357795715
0,3,4,-0.24394188821315765
0,3,5,-0.7261865139007568
0,3,6,-0.3351162374019623
0,3,7,-0.5900696516036987
0,4,0,0.887469470500946
0,4,1,0.09669359028339386
0,4,2,0.6908265352249146
0,4,3,-0.505903959274292
0,4,4,-0.8030950427055359
0,4,5,-0.6587312817573547
0,4,6,0.14768338203430176
0,4,7,0.7049601674079895
0,5,0,-0.6516289114952087
0,5,1,-0.9801008701324463
0,5,2,0.07882729917764664
0,5,3,0.5335051417350769
0,5,4,0.5958681702613831
0,5,5,-0.8119893670082092
0,5,6,-0.022192567586898804
0,5,7,-0.4662140905857086
0,6,0,-0.7183305025100708
0,6,1,0.3822741210460663
0,6,2,0.7660564184188843
0,6,3,0.6768526434898376
0,6,4,0.008963296189904213
0,6,5,-0.46477559208869934
0,6,6,0.2379537969827652
0,6,7,0.9786509275436401
1,0,0,-0.7848700881004333
1,0,1,0.661098062992096
1,0,2,-0.8118407130241394
1,0,3,-0.36411339044570923
1,0,4,0.5914348363876343
1,0,5,-0.5962167382240295
1,0,6,0.39674776792526245
1,0,7,0.8582044839859009
1,1,0,-0.35915935039520264
1,1,1,-0.7695590853691101
1,1,2,-0.979688286781311
1,1,3,0.6029776930809021
1,1,4,-0.7082265019416809
1,1,5,0.01837685890495777
1,1,6,0.9769584536552429
1,1,7,-0.3637334108352661
1,2,0,-0.1727973371744156
1,2,1,-0.5539705157279968
1,2,2,0.20785067975521088
1,2,3,0.513174295425415
1,2,4,-0.45501208305358887
1,2,5,0.3513907492160797
1,2,6,0.9670373797416687
1,2,7,-0.1349603682756424
1,3,0,-0.23670588433742523
1,3,1,-0.461058646440506
1,3,2,0.7990400791168213
1,3,3,-0.9308034181594849
1,3,4,-0.09512351453304291
1,3,5,-0.8926377892494202
1,3,6,-0.6597121953964233
1,3,7,-0.18766294419765472
1,4,0,-0.6242983937263489
1,4,1,0.29509788751602173
1,4,2,-0.6012161374092102
1,4,3,0.8410624265670776
1,4,4,0.0017334675649181008
1,4,5,-0.10701320320367813
1,4,6,-0.793173611164093
1,4,7,-0.2296372354030609
1,5,0,0.4128165543079376
1,5,1,-0.8525770306587219
1,5,2,-0.8612548112869263
1,5,3,0.07219390571117401
1,5,4,-0.5480977296829224
1,5,5,-0.25897085666656494
1,5,6,0.621929943561554
1,5,7,0.7784440517425537
1,6,0,0.3981766700744629
1,6,1,0.3796280324459076
1,6,2,-0.37418216466903687
1,6,3,0.9458526372909546
1,6,4,0.8818053603172302
1,6,5,-0.7896890640258789
1,6,6,-0.3706570863723755
1,6,7,-0.3773161470890045
2,0,0,-0.5268766283988953
2,0,1,0.1515568494796753
2,0,2,-0.7199969291687012
2,0,3,-0.6181208491325378
2,0,4,0.2663421928882599
2,0,5,0.540576696395874
2,0,6,0.9239523410797119
2,0,7,0.5704042911529541
2,1,0,0.3731842637062073
2,1,1,0.5763472318649292
2,1,2,-0.5291735529899597
2,1,3,0.05052192136645317
2,1,4,0.7449465394020081
2,1,5,-0.9073936939239502
2,1,6,0.5916123986244202
2,1,7,0.5674855709075928
2,2,0,0.5803802609443665
2,2,1,-0.09727755934000015
2,2,2,0.22995075583457947
2,2,3,0.1688469797372818
2,2,4,-0.7088539004325867
2,2,5,0.9961909651756287
2,2,6,0.8486354947090149
2,2,7,-0.719048261642456
2,3,0,0.9009729623794556
2,3,1,0.7874079942703247
2,3,2,-0.9469301700592041
2,3,3,-0.22603577375411987
2,3,4,-0.853679358959198
2,3,5,-0.8085306286811829
2,3,6,0.7454800009727478
2,3,7,-0.4821142554283142
2,4,0,0.3003425598144531
2,4,1,-0.6978256702423096
2,4,2,-0.584484338760376
2,4,3,0.6257269978523254
2,4,4,0.8350389003753662
2,4,5,-0.19189704954624176
2,4,6,0.3642616271972656
2,4,7,-0.34854334592819214
2,5,0,-0.7531147599220276
2,5,1,0.9708643555641174
2,5,2,-0.6517492532730103
2,5,3,0.3210664391517639
2,5,4,-0.5353904366493225
2,5,5,0.9090808629989624
2,5,6,0.3458688259124756
2,5,7,-0.44724974036216736
2,6,0,-0.9413312077522278
2,6,1,-0.8510581851005554
2,6,2,0.9816718101501465
2,6,3,-0.8344935178756714
2,6,4,-0.18164099752902985
2,6,5,0.10841827839612961
2,6,6,0.3443000912666321
2,6,7,-0.35151439905166626
