PC,evr,abs_pb_cluster,abs_rho_age
1,0.2593590317031434,0.9474587542632188,0.021345351197355006
2,0.15657138327028647,0.04868458306717395,0.2514570373363971
3,0.10844068702600985,0.051233136778747655,0.23526106691459475
4,0.09880309491419552,0.10028633566774567,0.08870719621767593
5,0.07616620183230757,0.08222766244991461,0.006176766299091
6,0.05696138168693455,0.023721398678506696,0.08173741921222676
7,0.051353387647899235,0.009072004332964954,0.025181083474434755
8,0.04334503813118819,0.048217384238550993,0.03626311672382745
9,0.031001109577090635,0.030792875618164198,0.06610391642048279
10,0.023350180160120002,0.02766536062181873,0.025786179221786772
