PC,evr,abs_pb_cluster,abs_rho_age
1,0.2515233680357063,0.8382241666987895,0.2612629412167701
2,0.16510288762516673,0.03708630288332977,0.1794233422477346
3,0.1433347029239484,0.0964538404168661,0.0063673954078873884
4,0.09559156282948748,0.07389691145003642,0.0656784335268962
5,0.08415847792259445,0.06173009451712431,0.02524702134875042
6,0.05827874068660921,0.05045534849177395,0.02547628717809013
7,0.040125097446638024,0.016130639638212617,0.04110579857308376
8,0.03886658206335582,0.016291017347577076,0.1258393198419881
9,0.03380256038256273,0.004279328652525034,0.06192268884069334
10,0.0280974095992243,0.06638440639185472,0.1026144997428315
