PC,evr,abs_pb_cluster,abs_rho_age
1,0.18764674439622633,0.81944516291063,0.3081830872640137
2,0.14068754564587005,0.1054021003519948,0.029716108462174613
3,0.1293248308920915,0.13047719908683528,0.026416979564211
4,0.10481109354137703,0.08833437383888468,0.128827758416905
5,0.09024714744311582,0.007834206121361223,0.05241534143724601
6,0.07819454431924437,0.035565309928325635,0.07438941745071506
7,0.05369408553632769,0.03097598697629915,0.18324183169085284
8,0.03788675967906384,0.04113798179846374,0.02669047006954451
9,0.0326316411470219,0.02223587765412289,0.12132536942909003
10,0.02977367985173913,0.010894359636551158,0.16732015005373407
