PC,evr,abs_pb_cluster,abs_rho_age
1,0.18435075693018663,0.7891454900278619,0.3020751326448986
2,0.132862446551876,0.21256910068670332,0.026611759725627744
3,0.10844526017654751,0.05410823066270589,0.0783507988974956
4,0.10401251420810706,0.10759819088512622,0.05334022789223552
5,0.07489302514369035,0.0012109157680140195,0.01591274090839798
6,0.06522817675457553,0.00016060186625561912,0.05454946145171948
7,0.06213333968199708,0.06885532166663627,0.12000756987799674
8,0.05032825795967057,0.0409485998276277,0.15643002316009788
9,0.043768538799850674,0.07825214460669078,0.148881972593459
10,0.04146086903442857,0.05830567263373738,0.11961577437298306
