,d_rna,d_cnv,d_methy
ACTR3B,-0.012275144,0.11205265,-0.09977761
AGR2,-0.021200702,0.10852358,-0.08732253
AKT1,-0.013307765,0.08698711,-0.07367915
AKT2,-0.025963321,0.17776608,-0.15180269
ALDH1A3,-0.02774857,0.1256279,-0.0978795
ANLN,-1.0371208e-05,0.09390879,-0.093898386
AP2B1,-0.01926665,0.104400486,-0.08513424
APC,-0.0015620738,0.07502237,-0.07346049
AR,-0.018667147,0.09286782,-0.0742006
ARID1A,0.029741675,0.041544974,-0.07128647
ARID1B,0.0040295124,0.057985306,-0.062014937
ASPM,0.0029552877,0.05675283,-0.059708208
ATM,0.0018568188,0.013382018,-0.015238792
AURKA,-0.04875602,0.212163,-0.16340688
AURKB,0.015945584,0.026194453,-0.04213977
AZGP1,-0.027898863,0.12755361,-0.099654615
BAG1,-0.020531997,0.11619586,-0.0956637
BBC3,-0.027074039,0.11418751,-0.08711347
BCL2,-0.0012221336,0.07555172,-0.074329466
BIRC5,-0.023853883,0.12187019,-0.09801635
BLVRA,-0.03690335,0.13727063,-0.10036743
BRCA1,0.0023150593,0.072960734,-0.07527584
BRCA2,-0.0046820194,0.029492795,-0.02481097
BRD4,-0.03394209,0.14444003,-0.11049792
BUB1,-0.019609094,0.15738186,-0.13777277
BUB1B,0.011474609,0.03938788,-0.05086246
CA12,-0.01754582,0.08888167,-0.07133579
CBFB,-0.032883823,0.16810068,-0.1352165
CCNB1,0.021401942,0.045852005,-0.06725389
CCNB2,0.005636215,0.05521053,-0.060846627
CCND1,-0.046617985,0.19574907,-0.14913139
CCNE2,-0.042672604,0.16237283,-0.1197004
CD44,-0.042274103,0.18196169,-0.13968745
CDC20,-0.017242521,0.13740784,-0.12016526
CDC6,-0.033781543,0.17230105,-0.13851976
CDCA7,-0.010571003,0.13803318,-0.12746206
CDH1,-0.039109454,0.17751196,-0.1384027
CDH3,-0.02096507,0.15956447,-0.13859943
CDK4,-0.02584736,0.15950033,-0.13365296
CDK6,-0.019459188,0.12592307,-0.10646364
CDKN1B,-0.02740468,0.16133937,-0.13393477
CDKN2A,-0.012977473,0.073137105,-0.060159802
CDKN3,8.511543e-05,0.094257,-0.0943421
CENPA,-0.026335597,0.16251817,-0.13618258
CENPF,0.003349796,0.03736633,-0.040716022
CEP55,0.003302589,0.06018555,-0.063488364
CHEK1,0.018658012,0.026918024,-0.045576155
CHEK2,-0.01037322,0.062842935,-0.052469492
DLGAP5,0.0060447305,0.10268128,-0.108725965
DNMT1,-0.020727605,0.12817615,-0.1074484
DNMT3A,-0.03962177,0.17865169,-0.13903025
DNMT3B,-0.040533096,0.13637078,-0.09583765
E2F1,-0.016306058,0.14064863,-0.1243425
EGFR,-0.053362727,0.15610397,-0.10274124
EGLN1,-2.2038817e-05,0.068642646,-0.06862056
ERBB2,-0.025131375,0.13658577,-0.11145455
ERBB3,-0.02280587,0.13076767,-0.10796186
ESM1,-0.009480521,0.073410004,-0.06392968
ESR1,-0.02081488,0.09425852,-0.07344359
EXO1,0.007953078,0.04424113,-0.052194238
EXT1,-0.048347756,0.17147422,-0.12312654
EZH2,-0.007972136,0.11046314,-0.10249129
F12,-0.024335206,0.12395838,-0.099622905
FGF19,-0.0536301,0.19210678,-0.13847676
FGF3,-0.03030628,0.20138249,-0.17107603
FGF4,-0.019632995,0.18292412,-0.163291
FGFR1,-0.030673191,0.1545209,-0.12384784
FGFR2,-0.026389986,0.09974015,-0.07335037
FGFR4,-0.027341083,0.124203175,-0.096862435
FLT1,-0.012749687,0.06967193,-0.056922346
FOXA1,-0.015158549,0.12610763,-0.1109491
FOXC1,-0.011442453,0.14223915,-0.13079652
FOXM1,-0.026012316,0.1824218,-0.15640953
GABRP,-0.02044864,0.07637769,-0.055929065
GATA3,-0.055073343,0.17497456,-0.11990133
GMPS,-0.03789404,0.15906379,-0.121169865
GPR160,-0.049942948,0.20119953,-0.15125641
GPR18,-0.006647527,0.051740646,-0.04509321
GRB7,-0.024611682,0.12221587,-0.09760451
GREB1,-0.04432556,0.14647579,-0.10215056
GSTM1,-0.039284855,0.10988602,-0.07060143
GSTP1,-0.02516307,0.1521366,-0.12697345
HOXB13,-0.04154256,0.15383315,-0.1122905
HTATIP2,-0.012104228,0.13074014,-0.118635654
IGF1R,-0.032981947,0.15290484,-0.119922906
IGFBP3,-0.027901828,0.123327196,-0.09542528
IGFBP5,-0.03338103,0.12777385,-0.094393015
IL17RB,-0.00045681,0.049821675,-0.049364924
IL25,-0.009343922,0.109624654,-0.100281
IL6ST,-0.015794128,0.065772,-0.0499779
JUP,-0.012862384,0.07191351,-0.059050947
KIF23,-0.0069237947,0.085300386,-0.07837647
KIF2C,-0.013162494,0.11767611,-0.104513615
KRT5,-0.03311114,0.10774502,-0.07463375
LIN9,0.00032125413,0.056539923,-0.05686125
LMO1,-0.017778337,0.10213855,-0.08436012
LOX,0.010700494,0.058884084,-0.06958449
MAP2K4,0.028595418,0.0015262663,-0.030121624
MAP3K1,-0.0033656955,0.065585434,-0.06221968
MCM2,-0.00898923,0.14631683,-0.13732752
MCM6,-0.0072945505,0.11115539,-0.103860974
MDM2,-0.06325477,0.21642521,-0.15317053
MDM4,0.0061809123,0.07762423,-0.0838052
MELK,-0.0063244104,0.10431421,-0.09798971
MGP,-0.026992664,0.1509285,-0.12393585
MIA,-0.03744456,0.14327896,-0.10583416
MKI67,0.010206282,0.061184287,-0.07139054
MLPH,-0.02315557,0.10231966,-0.079164445
MMP2,-0.029155716,0.1041733,-0.0750176
MMP9,-0.048588946,0.187015,-0.13842651
MTDH,-0.04206565,0.17272264,-0.13065666
MTOR,0.01594241,0.029906511,-0.045849264
MYBL2,-0.016339153,0.15933153,-0.14299232
MYC,-0.026547804,0.1476787,-0.12113109
NCOA3,-0.036791205,0.17199123,-0.1352
NCOR1,0.009821907,0.022758275,-0.03257987
NDC80,-0.013607249,0.0809097,-0.067302614
NDRG1,-0.031055182,0.17166197,-0.14060679
NEK2,0.012988284,0.06636077,-0.07934931
NF1,-0.003051743,0.0998888,-0.096836865
NMU,-0.043434486,0.14414155,-0.100707114
NOTCH3,-0.011998236,0.14135903,-0.12936077
NUF2,-0.011281967,0.06391871,-0.05263686
NUSAP1,-0.007374972,0.032197744,-0.024822354
OXCT1,-0.035619095,0.14939404,-0.113774896
PAK1,-0.05173783,0.20794234,-0.15620458
PCOLCE,-0.023430303,0.12390891,-0.10047841
PGR,0.009005949,0.0396626,-0.048668534
PHGDH,-0.031283215,0.19180954,-0.16052634
PIK3CA,-0.06643145,0.18352789,-0.11709651
PIK3R1,-0.008187547,0.048360735,-0.040173113
