modality,gene,smd_B_minus_A,mwu_p,abs_smd,fdr
cnv,GABRP,1.7927935235752857,5.249422388319531e-60,1.7927935235752857,1.2398181240776492e-58
cnv,TGFB1,1.7716289208250424,3.0949861316574636e-61,1.7716289208250424,8.934193300051212e-60
cnv,BBC3,1.7523580459268175,1.7839120539016377e-58,1.7523580459268175,3.2184746639142044e-57
cnv,XRCC4,1.7412705306131853,6.538558332303352e-57,1.7412705306131853,9.167633427747379e-56
cnv,PIK3R1,1.7374576075245045,1.4870877804585259e-55,1.7374576075245045,1.596468617202996e-54
cnv,ERBB3,1.7308556049300092,2.6445881559251694e-63,1.7308556049300092,2.862766678788996e-61
cnv,CCNB1,1.7304985468135778,2.8526904821595346e-55,1.7304985468135778,2.872592973895531e-54
cnv,LOX,1.714641350658768,8.553908210551198e-56,1.714641350658768,9.746953303075443e-55
cnv,F12,1.7107699511044552,2.888806011315278e-58,1.7107699511044552,4.87345325805006e-57
cnv,ZEB2,1.7014881569037024,1.557002807986502e-61,1.7014881569037024,5.618185132151294e-60
cnv,PTTG1,1.6955805744675112,8.933077234179923e-56,1.6955805744675112,1.0090493327999755e-54
cnv,APC,1.6895848637738984,2.659737995396526e-56,1.6895848637738984,3.3221150538654686e-55
cnv,RACGAP1,1.6875508131409835,4.044555920876119e-63,1.6875508131409835,3.89865817627855e-61
cnv,FPR3,1.686073130414859,1.3602279605954543e-61,1.686073130414859,5.048388916609986e-60
cnv,FGFR4,1.6850427277428874,2.888806011315278e-58,1.6850427277428874,4.87345325805006e-57
cnv,ZNF83,1.676987975399382,2.5311226176116687e-62,1.676987975399382,1.4576136506645785e-60
cnv,MLPH,1.6758649511128016,2.001681894680318e-58,1.6758649511128016,3.466913041586311e-57
cnv,CLEC11A,1.675432418017019,3.8733914314984524e-61,1.675432418017019,1.0938120585905413e-59
cnv,SCGB3A1,1.6621265494529758,6.563432708087038e-57,1.6621265494529758,9.167633427747379e-56
cnv,KRT5,1.6617155364421878,2.4882811384343006e-60,1.6617155364421878,6.098636224200294e-59
cnv,MCM6,1.6543849554438435,2.5373837525541782e-61,1.6543849554438435,7.665259289692738e-60
cnv,MAP3K1,1.6527782338910826,1.2100281281604531e-51,1.6527782338910826,8.360779460002281e-51
cnv,MDFIC,1.6489604620623868,3.2775654976286937e-52,1.6489604620623868,2.4190668076248147e-51
cnv,TBX3,1.6440716466453136,1.3293129564194393e-52,1.6440716466453136,1.0402274279450914e-51
cnv,ADAMTS2,1.642151066943102,1.1364774626999099e-57,1.642151066943102,1.6775957091445263e-56
cnv,ACTR3B,1.6404308979945599,9.907723643012322e-52,1.6404308979945599,6.882424070734229e-51
cnv,ZNF880,1.633522908346518,1.7964139518174593e-61,1.633522908346518,6.140899272133893e-60
cnv,ESM1,1.6267487180294766,1.404026846770071e-53,1.6267487180294766,1.2578143958305672e-52
cnv,SEMA3C,1.6241994517106506,2.245766241163914e-55,1.6241994517106506,2.315278053390416e-54
cnv,CALD1,1.6222801822752837,1.3674184446297164e-52,1.6222801822752837,1.0636386584275458e-51
cnv,IL6ST,1.6185898909029037,9.473580398480827e-53,1.6185898909029037,7.596407986189255e-52
cnv,STC2,1.6185616469589759,1.3811635008307598e-56,1.6185616469589759,1.8307463138562827e-55
cnv,CDK6,1.6114976000770658,1.6396084410173633e-53,1.6114976000770658,1.4488784795112618e-52
cnv,IL17RB,1.6101554176027137,1.249604624003668e-46,1.6101554176027137,7.620828199909694e-46
cnv,CCNB2,1.609662297722429,4.397952010568409e-45,1.609662297722429,2.620614523728607e-44
cnv,ANLN,1.604350329753482,1.0157440503469755e-55,1.604350329753482,1.11817925542434e-54
cnv,PITX2,1.6036880856304414,1.9074864159004869e-53,1.6036880856304414,1.6515559501266952e-52
cnv,RASSF1,1.6030461442284034,6.871407014171509e-46,1.6030461442284034,4.132387829355922e-45
cnv,CEP55,1.6021389377014947,1.0764490834020497e-49,1.6021389377014947,6.95675303153862e-49
cnv,SFRP4,1.5971848729288007,8.651420352775296e-55,1.5971848729288007,8.578774838362678e-54
cnv,PTN,1.5961529475308343,4.358949669864399e-53,1.5961529475308343,3.629663859714009e-52
cnv,TWIST1,1.5947328281882391,3.6576888280820294e-53,1.5947328281882391,3.1054495344304286e-52
cnv,CDCA7,1.5934916428660535,1.7323416536307943e-61,1.5934916428660535,6.08192380558487e-60
cnv,SND1,1.5931722108768391,1.716903600973217e-52,1.5931722108768391,1.3058276406457158e-51
cnv,COL1A2,1.5931267198666341,1.0996066687580521e-52,1.5931267198666341,8.656903410404301e-52
cnv,MAPRE1,1.5931156712982477,7.299700567527798e-60,1.5931156712982477,1.6635633398629138e-58
cnv,DLGAP5,1.592651200933243,6.985930314302565e-56,1.592651200933243,8.03072874183985e-55
cnv,GCC1,1.5867133038099284,1.716903600973217e-52,1.5867133038099284,1.3058276406457158e-51
cnv,MKI67,1.5853094429184615,2.6417955254688905e-51,1.5853094429184615,1.806153888202152e-50
cnv,AGR3,1.5843131595017335,7.136820667463725e-51,1.5843131595017335,4.778726828368752e-50
cnv,AGR2,1.5843131595017335,7.136820667463725e-51,1.5843131595017335,4.778726828368752e-50
cnv,ID1,1.584008777376983,2.469993926686523e-61,1.584008777376983,7.639338358966174e-60
cnv,NME4,1.5802017268787658,8.261543819035434e-43,1.5802017268787658,4.748559920764172e-42
cnv,METRN,1.5802017268787658,4.788352070546936e-43,1.5802017268787658,2.7768166694823528e-42
cnv,CDKN3,1.579875209389972,2.3719440238590126e-55,1.579875209389972,2.4261065251912262e-54
