gene,meandiff_BmA,cohens_d,mwu_p,fdr_bh,is_cellcycle
AURKA,0.2997523315509918,0.44516646131870535,0.00029002408083719333,0.0590922944215219,True
UBE2C,0.2813730569565669,0.3814706839771412,0.0003625368733354792,0.0590922944215219,True
TPX2,0.2966509751278915,0.41565426867611666,0.00040941543479114476,0.0590922944215219,False
MYBL2,0.26934649966055113,0.38216017775617134,0.0005685324936465235,0.061543642437236167,True
E2F1,0.29440479671033193,0.3951670792081804,0.0007939356602727858,0.06875482817962325,False
CCNB1,0.279858741158133,0.37599483350350643,0.001353827660469704,0.078905260404833,True
CDKN3,0.25653628899763503,0.36942120570358183,0.001428131671893493,0.078905260404833,False
MAPRE1,0.31085175289709044,0.38999436086157996,0.001614171910369652,0.078905260404833,False
PLK1,0.2362460363172899,0.35585490719406504,0.001667419288768756,0.078905260404833,False
PTTG1,0.24380496381273076,0.33358849064709317,0.0018222923881023789,0.078905260404833,True
RACGAP1,0.2639927435946899,0.352070401578774,0.003183961705160665,0.11623653912261238,False
GAPDH,0.21112799581252223,0.29589197724072686,0.0034370226199035825,0.11623653912261238,False
DLGAP5,0.25200494465711243,0.3456589081909083,0.0034897806203093786,0.11623653912261238,False
EIF3K,0.22158109318683183,0.26855556229980526,0.004044150115541611,0.1250797857163941,False
NEK2,0.24713530123133765,0.29247014745777494,0.004407423831906177,0.12722763461435832,False
FOXM1,0.2160600751368299,0.32920023321107705,0.0049712333848883706,0.13403769252256245,True
KIF2C,0.21142328346283923,0.3145148581902656,0.005262449821901991,0.13403769252256245,True
LAPTM4B,0.25493738169977453,0.2961225003025398,0.005702261325405475,0.13717106410558727,False
EXO1,0.2105142000321607,0.29140605924432866,0.006163829709284253,0.1404704349536885,True
ALDOC,0.2626352158588934,0.2833746023189344,0.006611279274961755,0.14313419630292198,False
CDCA7,0.1583799536634088,0.28262826063823593,0.007050005388147697,0.14536439681275967,False
CLDN4,0.2629640028500525,0.3111608962624583,0.00892191170421057,0.14952183097077776,False
MRPL36,0.2337579108316521,0.2826400045353295,0.009141084487023277,0.14952183097077776,False
MELK,0.19681544040629462,0.3015817233498579,0.009365050794960672,0.14952183097077776,True
BLVRA,0.19426082492446145,0.22027641907324608,0.009626996234124687,0.14952183097077776,False
RUNX1,-0.25565650126586914,-0.2950237477595707,0.009827721544108133,0.14952183097077776,False
CLDN3,0.22142490283647148,0.2815519982972099,0.009895453968586071,0.14952183097077776,False
KDELR2,0.2783098974107457,0.3219736108720163,0.010153163503632824,0.14952183097077776,False
BCL2,-0.15723452061981702,-0.26310739805669253,0.010170561148670343,0.14952183097077776,False
AKT2,0.2636046757330859,0.33522826484847135,0.010632152312963356,0.14952183097077776,False
SMAD4,-0.21482268188737602,-0.29448689536459094,0.010704796212688477,0.14952183097077776,False
ANLN,0.21352949670579058,0.2977305754759757,0.011074675934629557,0.14980789308404,True
MCM2,0.269405360178062,0.36669944299932933,0.011417229726959167,0.14980789308404,False
CDC20,0.1854366536506361,0.26140026358462576,0.015648060635482887,0.19869189089496928,True
RRM2,0.22482758665570035,0.28741497049775194,0.016060545453403983,0.19869189089496928,True
BUB1,0.20276000689467544,0.2906799670824898,0.016670222686224645,0.20050573397597976,True
BIRC5,0.17238448713506938,0.2461871687124907,0.017524080982147982,0.20507910987216424,True
CHCHD2,0.2517089159639348,0.278147244632551,0.02074013913528493,0.2363284275152204,False
AURKB,0.18634366554192616,0.28629149836446455,0.021334571988628655,0.23686845310451812,False
MAPK3,0.24644668524665392,0.30221752984529165,0.024685863067371628,0.26722446770429786,False
IL17RB,-0.25587348225447226,-0.2700578510762981,0.02561131947650302,0.2704805203250197,False
CAPN8,-0.17178081608883838,-0.2429235059033791,0.026891845073275755,0.277242117064962,False
CRNKL1,0.1851115346563661,0.25467110650018826,0.029265993219411344,0.29017304824929574,False
CDK4,0.23451928154360538,0.3187929513480459,0.02961946414702829,0.29017304824929574,False
PLTP,0.27651925279457334,0.30307457492801004,0.030156552358471846,0.29017304824929574,False
CEP55,0.17610937554290584,0.2530261729338406,0.031629876721674055,0.2966333160831011,True
CHEK1,0.13821595480339777,0.20386070599929498,0.032198073570221135,0.2966333160831011,False
MCM6,0.19422695380670985,0.28840289659771906,0.03621408572912421,0.32668123168147467,False
TMEM97,0.21439436939517062,0.25003698718837825,0.03804600020051209,0.33427229106634576,False
CDH1,0.24309570789678736,0.2367457952232895,0.0385995717166681,0.33427229106634576,False
HOXB13,0.13189247361137513,0.1386350040743915,0.043438206388404496,0.3580068456062715,False
UBE2T,0.15709362134197224,0.2195240299050178,0.0440212112205712,0.3580068456062715,False
MAP2K4,-0.16994454420365557,-0.18085465676388823,0.04452164839045962,0.3580068456062715,False
CENPA,0.1379217188155506,0.22985836818402441,0.04464750499477751,0.3580068456062715,False
TMEM147,0.178268995377578,0.20556008194048495,0.04762609836676701,0.3749472835056385,False
CHAD,-0.21534758291422507,-0.26734416936129013,0.04938234430611959,0.3786980802288752,False
HTATIP2,0.1728125557079444,0.2072509582913651,0.05105140834552589,0.3786980802288752,False
CCNB2,0.15144876270331287,0.2180427230011918,0.05176066252388282,0.3786980802288752,False
TUBB2A,0.24528281390017528,0.28473932367020394,0.05247814278678445,0.3786980802288752,False
MDM4,-0.20418155522435405,-0.22858637066806847,0.05335005694094551,0.3786980802288752,False
NUF2,0.18003725435148987,0.22033410064811493,0.053350075967578264,0.3786980802288752,True
EZH2,0.15380348422071943,0.2176140621842712,0.05634435777530693,0.3935017244630306,False
YWHAZ,0.1683238542806607,0.20767454078543013,0.058207168306445595,0.400058791693507,False
TM4SF1,-0.16370928367111903,-0.2027149999839608,0.060607354424433345,0.41004663227780686,False
NDUFS6,0.17976702565422015,0.1984939815042301,0.06342613041178131,0.4172234436863552,False
NCOA3,0.2374745462530829,0.2749732252126473,0.06359525931477931,0.4172234436863552,False
RAD51,0.17241671243126455,0.2355703561110583,0.06705681587408532,0.43336718318625295,False
ECH1,0.19345787694068262,0.2155941619091862,0.0684841922016536,0.43608316504876476,False
PHGDH,0.13544991418855543,0.1940971450619683,0.07253864826626508,0.45520629998975043,False
TFAP2C,0.21388780222430598,0.22582926576844556,0.07425300257761511,0.45754978572712046,False
ATP6V1C1,0.17221449833608643,0.2019527780178713,0.07502548449567102,0.45754978572712046,False
FSCN1,0.15641914634574786,0.23368946588393416,0.0761965006305488,0.45823728851427264,False
LPL,0.20651135855591854,0.1947655191974206,0.07778100175999086,0.4613585446859732,False
CCNE2,0.13131740467171504,0.19062294743697422,0.08332781699373944,0.48758033457147537,False
ATP6V1B2,0.2002817795939379,0.22947976020551847,0.08720059109936065,0.5034380792803088,False
BNIPL,-0.15911997756513258,-0.21156237403847988,0.08986225519814015,0.5119783750104564,False
POLD2,0.16194326933905723,0.19210515020915012,0.09752006100761793,0.5334286210244388,False
MARCKS,0.2583601774512402,0.27590264866622927,0.0977600153242575,0.5334286210244388,False
SLC2A10,0.07336153795431452,0.09849852296944804,0.09872455405678476,0.5334286210244388,False
HOXB7,0.1736020215180477,0.2082126562950137,0.0988456268592959,0.5334286210244388,False
TOP2A,0.13750761518637805,0.1634515633276826,0.09994089484057803,0.5334286210244388,True
PITX2,0.0996858706650637,0.12692859389376476,0.10290875293070846,0.5334286210244388,False
NECAB3,0.16871885490961522,0.20295235228367417,0.10290889025489623,0.5334286210244388,False
MMP9,0.22452774542509524,0.22480263929355654,0.10416606137545287,0.5334286210244388,False
SLC2A3,0.16119135841087096,0.17193426461098194,0.10581856039207517,0.5334286210244388,False
DSTN,0.1961552110983438,0.26778943854417203,0.10594656214342202,0.5334286210244388,False
SQLE,0.11937999056801973,0.14571104617179037,0.11037116416233937,0.5473471536963262,False
KIF23,0.14376748211584234,0.1957039740367676,0.11223495542637722,0.5473471536963262,True
BAG1,-0.17148914424268283,-0.20159521135246017,0.11250322558654283,0.5473471536963262,False
SOX9,-0.10249508671049427,-0.12113768778560106,0.11548767229391704,0.5531880199077259,False
PXMP4,0.15338169287980064,0.24163801481983607,0.11797549948425316,0.5531880199077259,False
SLC39A6,-0.10247749056860211,-0.13765713231616766,0.11825450058136763,0.5531880199077259,False
CD4,0.15953571649394366,0.182215297499808,0.11881405508410742,0.5531880199077259,False
TPD52,0.19136492747193562,0.22962322339293945,0.12107305330838786,0.5544359470519368,False
MTOR,-0.10344504359960019,-0.11798370772183193,0.1216429906926882,0.5544359470519368,False
EFR3A,0.12821762005649165,0.15117195619719942,0.12365444084853834,0.5577330509105949,False
