gene,methyl_diff_BmA,cohens_d,mwu_p,fdr_bh,direction
PPP2R5A,-0.4453906204862043,-0.49409909725668394,3.65982881352304e-05,0.015847058762554763,hypo_in_B
SLPI,-0.32819578298437624,-0.43651735800427205,0.00010959555533605305,0.01751329380874176,hypo_in_B
STC1,-0.3918978561326432,-0.43147403771352677,0.00012133921807442326,0.01751329380874176,hypo_in_B
ECH1,-0.36549629581467247,-0.412550257223748,0.0002953912955028979,0.0319761077381887,hypo_in_B
MNDA,-0.397515080402869,-0.41343638725841736,0.0003775747054052902,0.03269796948809813,hypo_in_B
MIR635,-0.298704852681771,-0.36678392979700636,0.0006768941575058565,0.048849195033339315,hypo_in_B
SLAMF7,-0.31414865380018,-0.3608550673273706,0.0012725316341009253,0.07871517108081438,hypo_in_B
NCOA3,-0.29341878170088403,-0.3463073970321479,0.0017859760645507453,0.07924981678360608,hypo_in_B
ANLN,-0.30030422318915095,-0.3771563483360827,0.0019902864508639876,0.07924981678360608,hypo_in_B
FABP4,-0.38501685992713863,-0.3866838860783891,0.0022027278707135952,0.07924981678360608,hypo_in_B
IFI16,-0.36487790275900367,-0.3714196096688619,0.002369651111929104,0.07924981678360608,hypo_in_B
MTOR,-0.26785238484112883,-0.29323009949539036,0.002728090394476061,0.07924981678360608,hypo_in_B
TPD52,-0.3122368815747658,-0.3562839457610223,0.0027600910606815805,0.07924981678360608,hypo_in_B
DSP,-0.2695420948963123,-0.37139397258171764,0.0027708339089290075,0.07924981678360608,hypo_in_B
PABPC1,-0.2811051413827124,-0.29763550124893934,0.0030521316095356577,0.07924981678360608,hypo_in_B
COL14A1,0.23548470258015242,0.29896353275825593,0.0030994827110079146,0.07924981678360608,hyper_in_B
ELN,0.32682054684466944,0.34681475466428247,0.0031114246774164053,0.07924981678360608,hyper_in_B
KDM2A,0.2998010486438748,0.3387391915073322,0.004358422221563714,0.10463588713572312,hyper_in_B
INHBA,-0.36078937692275515,-0.404409109870165,0.0045914130613827694,0.10463588713572312,hypo_in_B
PPP1R2,0.2227638683011748,0.28904609373045836,0.005224027351259824,0.11310019215477518,hyper_in_B
KDELR2,-0.2852235236293684,-0.3189843283684708,0.00557913785869062,0.11503650918157327,hypo_in_B
F12,-0.25900469317760944,-0.29201699191275965,0.005977473964202015,0.11764755574997603,hypo_in_B
SLC2A4RG,0.2557500730621944,0.31904126008872236,0.006611279274961755,0.12295431991348113,hyper_in_B
CREG1,-0.29287824441557864,-0.3140587336498879,0.007176427130581416,0.12295431991348113,hypo_in_B
CD163,-0.3102522369742819,-0.32631368840495584,0.0072019543246864765,0.12295431991348113,hypo_in_B
CD40,0.24962415011539563,0.3052183506252739,0.007382938378176696,0.12295431991348113,hyper_in_B
ASAP1,-0.29628683489422525,-0.35338570233930294,0.010345941628325344,0.16038725893667327,hypo_in_B
RGS1,-0.3630917396048555,-0.36313258434913176,0.010488178467062462,0.16038725893667327,hypo_in_B
PTN,-0.25756311078576566,-0.30570626547860474,0.0108514092399263,0.16038725893667327,hypo_in_B
PLEKHF2,-0.27324899719120394,-0.3098794209915326,0.011112281219630942,0.16038725893667327,hypo_in_B
CENPF,-0.23541679469180748,-0.2824774027207353,0.011650792881089249,0.16273526830682725,hypo_in_B
COL1A2,0.24059507042621864,0.28866271810677,0.012294479460946856,0.1651417856249555,hyper_in_B
IL25,-0.292858981609322,-0.2972862218010164,0.012585863569569356,0.1651417856249555,hypo_in_B
ABCC11,-0.2035561443225424,-0.29192907345504043,0.01327495313480437,0.16906043256971445,hypo_in_B
