dim,mean_coef,mean_abs_coef,sel_freq
c_028,0.36435235819978645,0.36435235819978645,0.36
c_072,-0.26417982788786093,0.26417982788786093,0.36
c_030,0.1706064249089667,0.1706064249089667,0.36
c_082,0.14195718219504402,0.141957200321701,0.2
c_098,-0.09342917265331767,0.09342917659766592,0.28
c_094,0.08216064259074113,0.08216064953034717,0.12
c_103,-0.08186407921052538,0.08186407921052538,0.2
c_118,-0.06748866712086399,0.06748870074328935,0.16
c_065,-0.06425436550589914,0.06425436948169795,0.2
c_071,0.05845665818814436,0.05845665818814436,0.16
c_014,0.057092749058460825,0.05709275274854225,0.12
c_060,-0.044786379605676524,0.044786388474453744,0.12
c_019,-0.04475673154494962,0.04475677319322327,0.08
c_093,0.04102430805832974,0.04102430805832974,0.12
c_013,0.03709237162007339,0.03709237162007339,0.16
c_034,-0.03694814369589306,0.036948171054231295,0.04
c_120,0.027534085207125678,0.027534209292806307,0.12
c_102,0.02637407610017844,0.026374099381781112,0.08
c_045,0.023295357124059075,0.023295363715862383,0.08
c_051,0.020487562573436008,0.020487570464094794,0.08
c_036,0.02043297073799477,0.02043298786720463,0.08
c_079,-0.018315946023810068,0.018315946023810068,0.12
c_054,0.015973417150575563,0.015973648340864708,0.04
c_032,0.014786050602374111,0.01478615423318258,0.04
c_085,-0.013772313884089149,0.013772400327432538,0.04
c_068,-0.013124053110249001,0.013124370919866415,0.04
c_086,0.012693621983712117,0.012693621983712117,0.08
c_122,-0.01161946767357509,0.011619495445424925,0.04
c_099,0.010909089601928303,0.010909091301144059,0.08
c_056,0.009860933281325642,0.00986095087625095,0.04
c_081,0.008070937150042715,0.00807094715517169,0.04
c_000,0.008003657343643784,0.008003694481055139,0.04
c_073,-0.0074704837628252795,0.007470494323078714,0.04
c_074,0.006980786318022728,0.006980786318022728,0.04
c_105,0.0066497221390541695,0.0066497221390541695,0.04
c_113,0.0060458605854707805,0.00604587902281785,0.04
c_115,-0.005493896777814467,0.005493937324056861,0.04
c_040,0.005064004695003523,0.0050640270552479005,0.04
c_038,-0.004925292147361951,0.004925296891284949,0.08
c_001,0.00413760179276064,0.004137610213197778,0.04
c_066,0.0032227810234700307,0.003222801062498534,0.04
c_058,-0.003129452340436068,0.003129452340436068,0.04
c_076,0.0029257766951720516,0.002925787360034214,0.04
c_108,0.002495018815113458,0.002495022801010407,0.04
c_101,0.002381743623345362,0.002381976047075233,0.04
c_023,-0.002241964641846643,0.0022419720894455747,0.04
c_018,0.0019104882387965935,0.0019104882387965935,0.04
c_064,0.0019013288370972323,0.0019013353293937962,0.04
c_092,-0.001673440722293756,0.0016734566770088583,0.04
c_039,0.0014516236869169567,0.0014516332255500282,0.04
c_096,0.0007041359924007823,0.0007041726393988339,0.04
c_119,-0.00045305543139668384,0.0004530560690684233,0.04
c_025,-0.00010782719849571529,0.0001078520280553709,0.04
c_016,1.2446264467183084e-08,1.770734502252388e-07,0.04
c_117,-2.9133538539387093e-08,1.644141128093843e-07,0.0
c_080,-7.369841365135816e-08,1.5838484067010497e-07,0.0
c_123,-1.0872889397301179e-07,1.4868528170201164e-07,0.0
c_055,1.3247442384977646e-07,1.3308327604567974e-07,0.0
c_063,-5.468256947626684e-08,1.2235948193412558e-07,0.0
c_007,5.380736221110143e-08,1.0998496536346912e-07,0.0
c_029,9.64099057179092e-08,1.0834106647673177e-07,0.0
c_048,9.54692715877775e-08,1.0650942791335404e-07,0.04
c_050,1.038900197499913e-07,1.038900197499913e-07,0.0
c_121,-4.205416710130895e-08,1.0079331296070656e-07,0.0
c_022,-8.85211463087691e-08,9.917741800775425e-08,0.0
c_111,-4.84272807813633e-08,9.529719436705224e-08,0.04
c_049,6.994931081015292e-08,8.95014349598733e-08,0.0
c_005,-5.7426023250385115e-08,8.714456588600534e-08,0.0
c_114,4.437985104373461e-08,8.618091561104452e-08,0.0
c_095,7.642910934997492e-08,8.539624621111653e-08,0.0
c_026,-7.880724225009499e-08,8.034464828663499e-08,0.0
c_053,6.032321995206776e-08,8.015476155904291e-08,0.0
c_008,-7.509163795743123e-08,7.99211135182818e-08,0.0
c_075,5.1859521438863776e-08,7.92751428461635e-08,0.0
c_070,6.680812261229769e-08,7.892979209678439e-08,0.0
c_011,-5.5560278536227295e-08,7.745462825449053e-08,0.0
c_003,-6.535639278584524e-08,7.54803727593398e-08,0.0
c_057,-1.9237161393992555e-08,7.365422740026246e-08,0.0
c_077,-6.211841808720659e-08,7.034213459989804e-08,0.0
c_125,5.2064296381130314e-08,6.873659415090744e-08,0.0
c_006,-6.463667605674781e-08,6.836495167726348e-08,0.0
c_084,-5.070693282813817e-08,6.688397361139963e-08,0.0
c_041,3.639028400417044e-08,6.652418694161003e-08,0.0
c_010,5.954908535203657e-08,6.337916177693383e-08,0.0
c_069,1.908938680261849e-08,6.254766109167314e-08,0.0
c_091,1.1956074326874336e-08,6.245353412631576e-08,0.0
c_012,-3.388657541873969e-09,6.212195392740255e-08,0.0
c_088,4.2748717324387255e-08,6.106956384698899e-08,0.0
c_021,-4.6033968191806287e-08,5.982808232085158e-08,0.0
c_037,1.2454260037991324e-08,5.875008814176388e-08,0.0
c_083,-1.6346729156834702e-08,5.823645524082863e-08,0.0
c_046,-4.203130861138542e-08,5.799089300396644e-08,0.0
c_020,3.2375637299668986e-08,5.7980137698578295e-08,0.0
c_104,2.276352254133211e-08,5.772314709847776e-08,0.0
c_009,5.6751453949656314e-08,5.7101591108574645e-08,0.0
c_100,-2.990965624047598e-08,5.5916747989565404e-08,0.0
c_033,3.4437724444476005e-08,5.5914565688269636e-08,0.0
c_110,-4.718410298778178e-08,5.531395444855184e-08,0.0
c_061,3.5717472799235665e-08,5.3654189427443294e-08,0.0
c_087,-3.556213332132713e-08,5.2259238394191447e-08,0.0
c_047,-3.42778111231117e-09,5.184107019962626e-08,0.0
c_078,-4.016567749153488e-08,5.12683264736395e-08,0.0
c_109,4.465064769194116e-08,5.08686026749621e-08,0.0
c_024,-2.6886471531068288e-08,4.996791395309956e-08,0.0
c_127,-1.9358524272582937e-09,4.9467505374677766e-08,0.0
c_044,-3.883573973612294e-08,4.736964288830852e-08,0.0
c_097,-1.726489999064617e-08,4.730454375441143e-08,0.0
c_112,-2.101561731779999e-08,4.6855558071724815e-08,0.0
c_015,-2.71641082791328e-08,4.6764958737844625e-08,0.0
c_035,5.731911649052918e-09,4.673810458616154e-08,0.0
c_002,-2.5240422189071755e-08,4.664309880613232e-08,0.0
c_116,9.771589006874165e-09,4.654971802121918e-08,0.0
c_107,1.7985309948488682e-08,4.593618562700947e-08,0.0
c_042,1.0595669125656537e-08,4.521608345378378e-08,0.0
c_043,2.509953874341946e-09,4.509703292929074e-08,0.0
c_052,1.3608299259360209e-08,4.2197358296781246e-08,0.0
c_126,1.9546178864659867e-08,3.9883522755834936e-08,0.0
c_062,3.6846598766966863e-08,3.983217682493562e-08,0.0
c_124,9.018200516310618e-09,3.96389499043459e-08,0.0
c_031,-1.777425053564495e-08,3.6525119527565094e-08,0.0
c_067,1.698807814880351e-08,3.494426504699958e-08,0.0
c_004,-1.2393744085426928e-08,3.4307837084433385e-08,0.0
c_089,2.563738914660134e-08,3.4104877223906116e-08,0.0
c_027,-2.630042827949505e-09,3.4024856781634244e-08,0.0
c_059,-9.01756684024598e-09,3.285792063120838e-08,0.0
c_017,-2.4381335565791638e-08,2.988624159244339e-08,0.0
c_090,7.449102320102886e-09,2.619824878760956e-08,0.0
c_106,1.6569240806911456e-08,2.588300040186724e-08,0.0
