model,repeat,fold,metric,value
B0a_dummy_stratified,0,0,macro_f1,0.26016448430241534
B0a_dummy_stratified,0,1,macro_f1,0.30216594999203694
B0a_dummy_stratified,0,2,macro_f1,0.2726350335513787
B0a_dummy_stratified,0,3,macro_f1,0.26388144094128035
B0a_dummy_stratified,0,4,macro_f1,0.2725231207113211
B0a_dummy_stratified,1,0,macro_f1,0.3099153719843375
B0a_dummy_stratified,1,1,macro_f1,0.19025941852028808
B0a_dummy_stratified,1,2,macro_f1,0.28624637686320936
B0a_dummy_stratified,1,3,macro_f1,0.2884723451062914
B0a_dummy_stratified,1,4,macro_f1,0.25321047213952635
B0a_dummy_stratified,2,0,macro_f1,0.20590641797538348
B0a_dummy_stratified,2,1,macro_f1,0.2866273822795562
B0a_dummy_stratified,2,2,macro_f1,0.2878158304303297
B0a_dummy_stratified,2,3,macro_f1,0.22174818226266896
B0a_dummy_stratified,2,4,macro_f1,0.247915403104432
B0a_dummy_stratified,3,0,macro_f1,0.25770704391394045
B0a_dummy_stratified,3,1,macro_f1,0.3024747394312612
B0a_dummy_stratified,3,2,macro_f1,0.27514477283816324
B0a_dummy_stratified,3,3,macro_f1,0.26637941473207993
B0a_dummy_stratified,3,4,macro_f1,0.29151973007007237
B0a_dummy_stratified,4,0,macro_f1,0.24537001950795054
B0a_dummy_stratified,4,1,macro_f1,0.232137990833643
B0a_dummy_stratified,4,2,macro_f1,0.22176802461265444
B0a_dummy_stratified,4,3,macro_f1,0.25198334463668914
B0a_dummy_stratified,4,4,macro_f1,0.30200382801547065
B0b_dummy_mostfreq,0,0,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,0,1,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,0,2,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,0,3,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,0,4,macro_f1,0.17266187050359713
B0b_dummy_mostfreq,1,0,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,1,1,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,1,2,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,1,3,macro_f1,0.17204301075268819
B0b_dummy_mostfreq,1,4,macro_f1,0.17266187050359713
