model,metric,mean,std,n,ci95_lo,ci95_hi,nb_ci95_lo,nb_ci95_hi
B0a_dummy_stratified,macro_f1,0.2638390455502552,0.031631749375791864,25,0.2507821011425602,0.27689598995795023,0.22868214679373983,0.2989959443067706
B0a_dummy_stratified,weighted_f1,0.3678372621000523,0.03286844429922813,25,0.3542698351176267,0.3814046890824779,0.3313058469454897,0.4043686772546149
B0a_dummy_stratified,balanced_accuracy,0.26471699791436637,0.0322067352801977,25,0.25142271099045943,0.2780112848382733,0.2289210348750804,0.3005129609536523
B0a_dummy_stratified,mcc,0.019067757913667847,0.051271255054098866,25,-0.0020959759981357996,0.04023149182547149,-0.037917339611034176,0.07605285543836987
B0a_dummy_stratified,f1__BRCA_Basal,0.22353063307380514,0.07172838921548541,25,0.19392260920785803,0.25313865693975224,0.14380858900795676,0.30325267713965354
B0a_dummy_stratified,precision__BRCA_Basal,0.20776878092667567,0.0655173723715346,25,0.18072453880682407,0.23481302304652726,0.13494993047695097,0.28058763137640036
B0a_dummy_stratified,recall__BRCA_Basal,0.24204545454545454,0.07946273958240188,25,0.20924484776002622,0.27484606133088285,0.15372711788868168,0.33036379120222736
B0a_dummy_stratified,f1__BRCA_Her2,0.09312866147571375,0.07187597676229056,25,0.06345971646465359,0.1227976064867739,0.013242582206528769,0.17301474074489873
B0a_dummy_stratified,precision__BRCA_Her2,0.09654945054945055,0.07572784821087032,25,0.06529053114993041,0.12780836994897068,0.012382234219775648,0.18071666687912546
B0a_dummy_stratified,recall__BRCA_Her2,0.09049999999999998,0.06934214687571574,25,0.061876968560602194,0.11912303143939777,0.013430129209525271,0.1675698707904747
B0a_dummy_stratified,f1__BRCA_LumA,0.5220437162614885,0.039002852280928535,25,0.5059441301170887,0.5381433024058883,0.4786942539043626,0.5653931786186144
B0a_dummy_stratified,precision__BRCA_LumA,0.5328685480017878,0.04048776154151905,25,0.516156021439972,0.5495810745636037,0.48786869306229197,0.5778684029412837
B0a_dummy_stratified,recall__BRCA_LumA,0.5116666666666666,0.037716389562982656,25,0.4960981062328982,0.527235227100435,0.4697470347938284,0.5535862985395048
B0a_dummy_stratified,f1__BRCA_LumB,0.21665317139001344,0.05964028050638938,25,0.19203487355956766,0.24127146922045922,0.15036637584597726,0.28293996693404966
B0a_dummy_stratified,precision__BRCA_LumB,0.2188960498960499,0.0593564726324784,25,0.19439490219815284,0.24339719759394698,0.15292469073748996,0.28486740905460983
B0a_dummy_stratified,recall__BRCA_LumB,0.21465587044534412,0.06044672608150833,25,0.18970468824239448,0.23960705264829377,0.14747275629748152,0.2818389845932067
B0a_dummy_stratified,roc_auc_macro,0.5096608579516778,0.022485901281290237,25,0.5003791340894049,0.5189425818139507,0.48466905160535145,0.5346526642980042
B0a_dummy_stratified,pr_auc_macro,0.2571091528272995,0.009326031225703846,25,0.2532595563408139,0.26095874931378515,0.24674379706695396,0.2674745085876451
B0a_dummy_stratified,roc_auc__BRCA_Basal,0.5214236102749348,0.046653233149090145,25,0.502166102116594,0.5406811184332756,0.46957118267123354,0.573276037878636
B0a_dummy_stratified,pr_auc__BRCA_Basal,0.19047419980875546,0.02009352549304581,25,0.1821800001361288,0.1987683994813821,0.16814138371856766,0.21280701589894327
B0a_dummy_stratified,roc_auc__BRCA_Her2,0.5052357428001141,0.038706366994468555,25,0.48925853976696804,0.52121294583326,0.4622158070548438,0.5482556785453844
B0a_dummy_stratified,pr_auc__BRCA_Her2,0.09027912888568626,0.012962239509140112,25,0.08492857939000781,0.09562967838136471,0.07587233346420684,0.10468592430716568
B0a_dummy_stratified,roc_auc__BRCA_LumA,0.5077098369419941,0.04066499573449145,25,0.4909241517009888,0.5244955221829994,0.46251299623024467,0.5529066776537436
B0a_dummy_stratified,pr_auc__BRCA_LumA,0.5305547533111092,0.020550633986262203,25,0.5220718685261512,0.5390376380960673,0.5077138870076426,0.5533956196145758
B0a_dummy_stratified,roc_auc__BRCA_LumB,0.5042742417896683,0.03777869045525556,25,0.4886799648115098,0.5198685187678268,0.4622853660019249,0.5462631175774116
B0a_dummy_stratified,pr_auc__BRCA_LumB,0.21712852930364712,0.014652409224644145,25,0.21108031203902147,0.22317674656827277,0.20084320592396443,0.23341385268332981
