model_a,model_b,mean_a,mean_b,mean_diff_a_minus_b,wilcoxon_stat,wilcoxon_p,corrected_t,corrected_t_p,rank_biserial,n_pairs
B0a_dummy_stratified,B0b_dummy_mostfreq,0.2638390455502552,0.17216678270286995,0.09167226284738525,0.0,5.960464477539063e-08,5.388147748350598,1.5605883217588198e-05,1.0,25
B0a_dummy_stratified,B1_pam50_centroid,0.2638390455502552,0.8586074870067746,-0.5947684414565194,0.0,5.960464477539063e-08,-27.781732273146346,9.25059138746046e-20,-1.0,25
B0a_dummy_stratified,B2_elasticnet_logreg,0.2638390455502552,0.9035035338363909,-0.6396644882861358,0.0,5.960464477539063e-08,-35.202434859013934,3.5972994646739507e-22,-1.0,25
B0a_dummy_stratified,B3_linear_svm,0.2638390455502552,0.8829860394649276,-0.6191469939146724,0.0,5.960464477539063e-08,-31.799098494449066,3.929532770354343e-21,-1.0,25
B0a_dummy_stratified,B4_random_forest,0.2638390455502552,0.9208298393716479,-0.6569907938213927,0.0,5.960464477539063e-08,-36.38320723138995,1.6526516216858387e-22,-1.0,25
B0a_dummy_stratified,B5_xgboost,0.2638390455502552,0.9259422495958151,-0.6621032040455599,0.0,5.960464477539063e-08,-34.064005795566764,7.801139721136906e-22,-1.0,25
B0a_dummy_stratified,B2_elasticnet_logreg__LATE,0.2638390455502552,0.8466562862220183,-0.5828172406717631,0.0,5.960464477539063e-08,-27.095354366601025,1.6564148524962514e-19,-1.0,25
B0a_dummy_stratified,B3_linear_svm__LATE,0.2638390455502552,0.8538462029316427,-0.5900071573813875,0.0,5.960464477539063e-08,-30.665972416238304,9.200198357575611e-21,-1.0,25
B0a_dummy_stratified,B4_random_forest__LATE,0.2638390455502552,0.7772393745153433,-0.5134003289650881,0.0,5.960464477539063e-08,-21.433984771058178,3.699870567815366e-17,-1.0,25
B0a_dummy_stratified,B5_xgboost__LATE,0.2638390455502552,0.8617268958993514,-0.5978878503490962,0.0,5.960464477539063e-08,-23.987904595437506,2.7877559775341218e-18,-1.0,25
B0b_dummy_mostfreq,B1_pam50_centroid,0.17216678270286995,0.8586074870067746,-0.6864407043039045,0.0,5.960464477539063e-08,-47.37670592772793,3.1841415900332166e-25,-1.0,25
B0b_dummy_mostfreq,B2_elasticnet_logreg,0.17216678270286995,0.9035035338363909,-0.7313367511335209,0.0,5.960464477539063e-08,-59.73688760526618,1.2777175761445317e-27,-1.0,25
B0b_dummy_mostfreq,B3_linear_svm,0.17216678270286995,0.8829860394649276,-0.7108192567620576,0.0,5.960464477539063e-08,-61.72269913965907,5.857323200178206e-28,-1.0,25
B0b_dummy_mostfreq,B4_random_forest,0.17216678270286995,0.9208298393716479,-0.748663056668778,0.0,5.960464477539063e-08,-72.28266194375371,1.349154219448225e-29,-1.0,25
B0b_dummy_mostfreq,B5_xgboost,0.17216678270286995,0.9259422495958151,-0.7537754668929452,0.0,5.960464477539063e-08,-61.593762254629965,6.156926412395318e-28,-1.0,25
B0b_dummy_mostfreq,B2_elasticnet_logreg__LATE,0.17216678270286995,0.8466562862220183,-0.6744895035191483,0.0,5.960464477539063e-08,-48.769360891596385,1.5995764390439177e-25,-1.0,25
B0b_dummy_mostfreq,B3_linear_svm__LATE,0.17216678270286995,0.8538462029316427,-0.6816794202287728,0.0,5.960464477539063e-08,-55.00749539895739,9.122873122099515e-27,-1.0,25
B0b_dummy_mostfreq,B4_random_forest__LATE,0.17216678270286995,0.7772393745153433,-0.6050725918124733,0.0,5.960464477539063e-08,-41.249115625096366,8.505600522059641e-24,-1.0,25
B0b_dummy_mostfreq,B5_xgboost__LATE,0.17216678270286995,0.8617268958993514,-0.6895601131964814,0.0,5.960464477539063e-08,-45.62670145602485,7.783020293385097e-25,-1.0,25
B1_pam50_centroid,B2_elasticnet_logreg,0.8586074870067746,0.9035035338363909,-0.04489604682961639,5.0,5.960464477539062e-07,-3.0890361487927662,0.005017739129400459,-0.9692307692307692,25
B1_pam50_centroid,B3_linear_svm,0.8586074870067746,0.8829860394649276,-0.02437855245815304,58.0,0.0037809014320373535,-1.1716810910020052,0.2528260202057478,-0.6430769230769231,25
B1_pam50_centroid,B4_random_forest,0.8586074870067746,0.9208298393716479,-0.06222235236487338,0.0,5.960464477539063e-08,-3.4794276614979966,0.0019384839926048648,-1.0,25
B1_pam50_centroid,B5_xgboost,0.8586074870067746,0.9259422495958151,-0.06733476258904054,0.0,5.960464477539063e-08,-3.761052972298778,0.0009615362253248234,-1.0,25
B1_pam50_centroid,B2_elasticnet_logreg__LATE,0.8586074870067746,0.8466562862220183,0.011951200784756226,101.0,0.10139739513397217,0.6200803578154261,0.5410483560569967,0.37846153846153846,25
B1_pam50_centroid,B3_linear_svm__LATE,0.8586074870067746,0.8538462029316427,0.004761284075131731,159.0,0.936802864074707,0.25241846653728617,0.8028668945501584,0.021538461538461538,25
B1_pam50_centroid,B4_random_forest__LATE,0.8586074870067746,0.7772393745153433,0.0813681124914313,0.0,5.960464477539063e-08,3.651952607048855,0.0012631030841518244,1.0,25
B1_pam50_centroid,B5_xgboost__LATE,0.8586074870067746,0.8617268958993514,-0.0031194088925768203,143.0,0.615043044090271,-0.18872456432737023,0.8518954983688896,-0.12,25
B2_elasticnet_logreg,B3_linear_svm,0.9035035338363909,0.8829860394649276,0.020517494371463357,38.0,0.0003764033317565918,1.376680011727457,0.1813193599033615,0.7661538461538462,25
B2_elasticnet_logreg,B4_random_forest,0.9035035338363909,0.9208298393716479,-0.017326305535256985,58.0,0.0037809014320373535,-1.2804606057155177,0.21262055807578634,-0.6430769230769231,25
B2_elasticnet_logreg,B5_xgboost,0.9035035338363909,0.9259422495958151,-0.02243871575942416,25.0,5.3882598876953125e-05,-1.7806041186721835,0.08764106464443033,-0.8461538461538461,25
B2_elasticnet_logreg,B2_elasticnet_logreg__LATE,0.9035035338363909,0.8466562862220183,0.05684724761437262,0.0,5.960464477539063e-08,5.089958054280875,3.310068614724831e-05,1.0,25
B2_elasticnet_logreg,B3_linear_svm__LATE,0.9035035338363909,0.8538462029316427,0.04965733090474814,0.0,5.960464477539063e-08,3.2392372322689957,0.0034921101849087386,1.0,25
B2_elasticnet_logreg,B4_random_forest__LATE,0.9035035338363909,0.7772393745153433,0.1262641593210477,0.0,5.960464477539063e-08,6.7784703781256335,5.19360172846536e-07,1.0,25
B2_elasticnet_logreg,B5_xgboost__LATE,0.9035035338363909,0.8617268958993514,0.041776637937039576,14.0,6.556510925292969e-06,2.516664653259858,0.01893750016353927,0.9138461538461539,25
B3_linear_svm,B4_random_forest,0.8829860394649276,0.9208298393716479,-0.03784379990672034,5.0,5.960464477539062e-07,-3.0890376867126945,0.005017720632214958,-0.9692307692307692,25
B3_linear_svm,B5_xgboost,0.8829860394649276,0.9259422495958151,-0.04295621013088752,0.0,5.960464477539063e-08,-3.9248507554214016,0.0006369637436305745,-1.0,25
B3_linear_svm,B2_elasticnet_logreg__LATE,0.8829860394649276,0.8466562862220183,0.03632975324290927,8.0,1.4901161193847656e-06,2.7481433190925926,0.011195696261466229,0.9507692307692308,25
B3_linear_svm,B3_linear_svm__LATE,0.8829860394649276,0.8538462029316427,0.02913983653328477,19.0,1.8298625946044922e-05,1.950883222397517,0.06284026879036758,0.8830769230769231,25
B3_linear_svm,B4_random_forest__LATE,0.8829860394649276,0.7772393745153433,0.10574666494958436,0.0,5.960464477539063e-08,6.53477356126373,9.288873756624387e-07,1.0,25
B3_linear_svm,B5_xgboost__LATE,0.8829860394649276,0.8617268958993514,0.02125914356557622,65.0,0.007370948791503906,1.1204480454387926,0.27361016778470176,0.6,25
B4_random_forest,B5_xgboost,0.9208298393716479,0.9259422495958151,-0.005112410224167174,119.0,0.25210392475128174,-0.48390206190040813,0.6328415611707616,-0.2676923076923077,25
B4_random_forest,B2_elasticnet_logreg__LATE,0.9208298393716479,0.8466562862220183,0.07417355314962962,0.0,5.960464477539063e-08,4.7260588606779015,8.333567596860717e-05,1.0,25
B4_random_forest,B3_linear_svm__LATE,0.9208298393716479,0.8538462029316427,0.06698363644000511,0.0,5.960464477539063e-08,4.602809781158734,0.00011401918071476258,1.0,25
B4_random_forest,B4_random_forest__LATE,0.9208298393716479,0.7772393745153433,0.1435904648563047,0.0,5.960464477539063e-08,9.750024153097817,8.040475449140243e-10,1.0,25
B4_random_forest,B5_xgboost__LATE,0.9208298393716479,0.8617268958993514,0.05910294347229656,2.0,1.7881393432617188e-07,3.250747194356179,0.003395795785289361,0.9876923076923076,25
B5_xgboost,B2_elasticnet_logreg__LATE,0.9259422495958151,0.8466562862220183,0.07928596337379679,0.0,5.960464477539063e-08,6.202047025740349,2.0775759285211033e-06,1.0,25
B5_xgboost,B3_linear_svm__LATE,0.9259422495958151,0.8538462029316427,0.07209604666417228,0.0,5.960464477539063e-08,4.010308522822328,0.0005133586925088795,1.0,25
B5_xgboost,B4_random_forest__LATE,0.9259422495958151,0.7772393745153433,0.14870287508047186,0.0,5.960464477539063e-08,8.709548759523306,6.790337038442638e-09,1.0,25
B5_xgboost,B5_xgboost__LATE,0.9259422495958151,0.8617268958993514,0.06421535369646374,1.0,1.1920928955078125e-07,3.801133028717257,0.0008695661073717053,0.9938461538461538,25
B2_elasticnet_logreg__LATE,B3_linear_svm__LATE,0.8466562862220183,0.8538462029316427,-0.007189916709624496,118.0,0.24106645584106445,-0.4248034852906909,0.6747642399873915,-0.27384615384615385,25
B2_elasticnet_logreg__LATE,B4_random_forest__LATE,0.8466562862220183,0.7772393745153433,0.06941691170667509,0.0,5.960464477539063e-08,4.292434870598941,0.000251080809584402,1.0,25
B2_elasticnet_logreg__LATE,B5_xgboost__LATE,0.8466562862220183,0.8617268958993514,-0.015070609677333046,91.0,0.055070459842681885,-0.824836153793017,0.41758776521962426,-0.44,25
B3_linear_svm__LATE,B4_random_forest__LATE,0.8538462029316427,0.7772393745153433,0.07660682841629958,0.0,5.960464477539063e-08,5.216890365191483,2.4018738415897888e-05,1.0,25
B3_linear_svm__LATE,B5_xgboost__LATE,0.8538462029316427,0.8617268958993514,-0.007880692967708552,117.0,0.23036134243011475,-0.4411194846803626,0.6630748887986235,-0.28,25
B4_random_forest__LATE,B5_xgboost__LATE,0.7772393745153433,0.8617268958993514,-0.08448752138400813,0.0,5.960464477539063e-08,-3.990940723040662,0.0005391071831100017,-1.0,25
